Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01, Albury, 13.4, 22.9, 0.6, nan, nan, W, 44.0, W, WNW, 20.0, 24.0, 71.0, 22.0, 1007.7, 1007.1, 8.0, nan, 16.9, 21.8, No, 0.0, No
2008-12-02, Albury, 7.4, 25.1, 0.0, nan, nan, WNW, 44.0, NNW, WSW, 4.0, 22.0, 44.0, 25.0, 1010.6, 1007.8, nan, nan, 17.2, 24.3, No, 0.0, No
2008-12-03, Albury, 12.9, 25.7, 0.0, nan, nan, WSW, 46.0, W, WSW, 19.0, 26.0, 38.0, 30.0, 1007.6, 1008.7, nan, 2.0, 21.0, 23.2, No, 0.0, No
2008-12-04, Albury, 9.2, 28.0, 0.0, nan, nan, NE, 24.0, SE, E, 11.0, 9.0, 45.0, 16.0, 1017.6, 1012.8, nan, nan, 18.1, 26.5, No, 1.0, No
2008-12-05, Albury, 17.5, 32.3, 1.0, nan, nan, W, 41.0, ENE, NW, 7.0, 20.0, 82.0, 33.0, 1010.8, 1006.0, 7.0, 8.0, 17.8, 29.7, No, 0.2, No
2008-12-06, Albury, 14.6, 29.7, 0.2, nan, nan, WNW, 56.0, W, W, 19.0, 24.0, 55.0, 23.0, 1009.2, 1005.4, nan, nan, 20.6, 28.9, No, 0.0, No
2008-12-07, Albury, 14.3, 25.0, 0.0, nan, nan, W, 50.0, SW, W, 20.0, 24.0, 49.0, 19.0, 1009.6, 1008.2, 1.0, nan, 18.1, 24.6, No, 0.0, No
2008-12-08, Albury, 7.7, 26.7, 0.0, nan, nan, W, 35.0, SSE, W, 6.0, 17.0, 48.0, 19.0, 1013.4, 1010.1, nan, nan, 16.3, 25.5, No, 0.0, No
2008-12-09, Albury, 9.7, 31.9, 0.0, nan, nan, NNW, 80.0, SE, NW, 7.0, 28.0, 42.0, 9.0, 1008.9, 1003.6, nan, nan, 18.3, 30.2, No, 1.4, Yes
2008-12-10, Albury, 13.1, 30.1, 1.4, nan, nan, W, 28.0, S, SSE, 15.0, 11.0, 58.0, 27.0, 1007.0, 1005.7, nan, nan, 20.1, 28.2, Yes, 0.0, No
2008-12-11, Albury, 13.4, 30.4, 0.0, nan, nan, N, 30.0, SSE, ESE, 17.0, 6.0, 48.0, 22.0, 1011.8, 1008.7, nan, nan, 20.4, 28.8, No, 2.2, Yes
2008-12-12, Albury, 15.9, 21.7, 2.2, nan, nan, NNE, 31.0, NE, ENE, 15.0, 13.0, 89.0, 91.0, 1010.5, 1004.2, 8.0, 8.0, 15.9, 17.0, Yes, 15.6, Yes
2008-12-13, Albury, 15.9, 18.6, 15.6, nan, nan, W, 61.0, NNW, NNW, 28.0, 28.0, 76.0, 93.0, 994.3, 993.0, 8.0, 8.0, 17.4, 15.8, Yes, 3.6, Yes
2008-12-14, Albury, 12.6, 21.0, 3.6, nan, nan, SW, 44.0, W, SSW, 24.0, 20.0, 65.0, 43.0, 1001.2, 1001.8, nan, 7.0, 15.8, 19.8, Yes, 0.0, No
2008-12-16, Albury, 9.8, 27.7, nan, nan, nan, WNW, 50.0, nan, WNW, nan, 22.0, 50.0, 28.0, 1013.4, 1010.3, 0.0, nan, 17.3, 26.2, nan, 0.0, No
2008-12-17, Albury, 14.1, 20.9, 0.0, nan, nan, ENE, 22.0, SSW, E, 11.0, 9.0, 69.0, 82.0, 1012.2, 1010.4, 8.0, 1.0, 17.2, 18.1, No, 16.8, Yes
2008-12-18, Albury, 13.5, 22.9, 16.8, nan, nan, W, 63.0, N, WNW, 6.0, 20.0, 80.0, 65.0, 1005.8, 1002.2, 8.0, 1.0, 18.0, 21.5, Yes, 10.6, Yes
2008-12-19, Albury, 11.2, 22.5, 10.6, nan, nan, SSE, 43.0, WSW, SW, 24.0, 17.0, 47.0, 32.0, 1009.4, 1009.7, nan, 2.0, 15.5, 21.0, Yes, 0.0, No
2008-12-20, Albury, 9.8, 25.6, 0.0, nan, nan, SSE, 26.0, SE, NNW, 17.0, 6.0, 45.0, 26.0, 1019.2, 1017.1, nan, nan, 15.8, 23.2, No, 0.0, No
2008-12-21, Albury, 11.5, 29.3, 0.0, nan, nan, S, 24.0, SE, SE, 9.0, 9.0, 56.0, 28.0, 1019.3, 1014.8, nan, nan, 19.1, 27.3, No, 0.0, No
2008-12-22, Albury, 17.1, 33.0, 0.0, nan, nan, NE, 43.0, NE, N, 17.0, 22.0, 38.0, 28.0, 1013.6, 1008.1, nan, 1.0, 24.5, 31.6, No, 0.0, No
2008-12-23, Albury, 20.5, 31.8, 0.0, nan, nan, WNW, 41.0, W, W, 19.0, 20.0, 54.0, 24.0, 1007.8, 1005.7, nan, nan, 23.8, 30.8, No, 0.0, No
2008-12-24, Albury, 15.3, 30.9, 0.0, nan, nan, N, 33.0, ESE, NW, 6.0, 13.0, 55.0, 23.0, 1011.0, 1008.2, 5.0, nan, 20.9, 29.0, No, 0.0, No
2008-12-25, Albury, 12.6, 32.4, 0.0, nan, nan, W, 43.0, E, W, 4.0, 19.0, 49.0, 17.0, 1012.9, 1010.1, nan, nan, 21.5, 31.2, No, 0.0, No
2008-12-26, Albury, 16.2, 33.9, 0.0, nan, nan, WSW, 35.0, SE, WSW, 9.0, 13.0, 45.0, 19.0, 1010.9, 1007.6, nan, 1.0, 23.2, 33.0, No, 0.0, No
2008-12-27, Albury, 16.9, 33.0, 0.0, nan, nan, WSW, 57.0, nan, W, 0.0, 26.0, 41.0, 28.0, 1006.8, 1003.6, nan, 1.0, 26.6, 31.2, No, 0.0, No
2008-12-28, Albury, 20.1, 32.7, 0.0, nan, nan, WNW, 48.0, N, WNW, 13.0, 30.0, 56.0, 15.0, 1005.2, 1001.7, nan, nan, 24.6, 32.1, No, 0.0, No
2008-12-29, Albury, 19.7, 27.2, 0.0, nan, nan, WNW, 46.0, NW, WSW, 19.0, 30.0, 49.0, 22.0, 1004.8, 1004.2, nan, nan, 21.6, 26.1, No, 1.2, Yes
2008-12-30, Albury, 12.5, 24.2, 1.2, nan, nan, WNW, 50.0, WSW, SW, 11.0, 22.0, 78.0, 70.0, 1005.6, 1003.4, 8.0, 8.0, 12.5, 18.2, Yes, 0.8, No
2008-12-31, Albury, 12.0, 24.4, 0.8, nan, nan, W, 39.0, WNW, WNW, 17.0, 17.0, 48.0, 28.0, 1006.1, 1005.1, 1.0, nan, 16.9, 22.7, No, 0.0, No
2009-01-01, Albury, 11.3, 26.5, 0.0, nan, nan, WNW, 56.0, W, WNW, 19.0, 31.0, 46.0, 26.0, 1004.5, 1003.2, nan, nan, 19.7, 25.7, No, 0.0, No
2009-01-02, Albury, 9.6, 23.9, 0.0, nan, nan, W, 41.0, WSW, SSW, 19.0, 11.0, 44.0, 22.0, 1014.4, 1013.1, nan, nan, 14.9, 22.1, No, 0.0, No
2009-01-03, Albury, 10.5, 28.8, 0.0, nan, nan, SSE, 26.0, SSE, E, 11.0, 7.0, 43.0, 22.0, 1018.7, 1014.8, nan, nan, 17.1, 26.5, No, 0.0, No
2009-01-04, Albury, 12.3, 34.6, 0.0, nan, nan, WNW, 37.0, SSE, NW, 6.0, 17.0, 41.0, 12.0, 1015.1, 1010.3, nan, nan, 20.7, 33.9, No, 0.0, No
2009-01-05, Albury, 12.9, 35.8, 0.0, nan, nan, WNW, 41.0, ENE, NW, 6.0, 26.0, 41.0, 9.0, 1012.6, 1009.2, nan, nan, 22.4, 34.4, No, 0.0, No
2009-01-06, Albury, 13.7, 37.9, 0.0, nan, nan, W, 52.0, SE, WNW, 4.0, 26.0, 33.0, 8.0, 1010.9, 1006.7, nan, nan, 23.1, 36.8, No, 0.0, No
