Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01, AliceSprings, 19.6, 37.6, 0.0, 11.2, 9.8, WNW, 87.0, NNE, NE, 20.0, 11.0, 17.0, 16.0, 1010.5, 1005.8, 0.0, 3.0, 30.4, 37.2, No, 1.2, Yes
2008-12-02, AliceSprings, 21.0, 39.1, 1.2, 9.0, 12.2, NNW, 41.0, NNW, S, 24.0, 9.0, 18.0, 13.0, 1009.3, 1004.6, 2.0, 5.0, 32.5, 38.2, Yes, 0.0, No
2008-12-03, AliceSprings, 22.9, 40.9, 0.0, 11.6, 12.6, NNW, 48.0, ENE, N, 7.0, 24.0, 17.0, 11.0, 1006.3, 1003.4, 0.0, 3.0, 35.0, 40.4, No, 0.0, No
2008-12-04, AliceSprings, 24.7, 40.5, 0.0, 16.0, 7.8, WNW, 72.0, SSW, W, 2.0, 22.0, 29.0, 24.0, 1008.7, 1006.9, 3.0, 6.0, 32.3, 36.5, No, 0.2, No
2008-12-05, AliceSprings, 23.4, 32.4, 0.2, 12.2, 4.1, SSW, 46.0, S, S, 9.0, 17.0, 58.0, 43.0, 1014.0, 1010.7, 7.0, 6.0, 26.8, 31.1, No, 2.6, Yes
2008-12-06, AliceSprings, 21.7, 25.1, 2.6, 8.4, 0.2, SSE, 35.0, SSW, N, 19.0, 11.0, 90.0, 78.0, 1014.3, 1011.1, 8.0, 7.0, 21.9, 22.9, Yes, 4.8, Yes
2008-12-07, AliceSprings, 20.9, 25.7, 4.8, 4.6, 2.1, N, 31.0, SSW, NNW, 11.0, 17.0, 70.0, 77.0, 1011.4, 1009.9, 7.0, 8.0, 25.0, 24.3, Yes, 0.6, No
2008-12-08, AliceSprings, 17.7, 34.6, 0.6, 3.0, 12.2, E, 26.0, ENE, NNW, 15.0, 9.0, 63.0, 27.0, 1010.9, 1005.9, 3.0, 1.0, 24.5, 33.6, No, 0.0, No
2008-12-09, AliceSprings, 24.4, 39.0, 0.0, 8.0, 11.0, S, 50.0, N, WNW, 28.0, 11.0, 40.0, 20.0, 1006.2, 1002.6, 3.0, 3.0, 32.5, 38.0, No, 0.0, No
2008-12-10, AliceSprings, 25.3, 38.6, 0.0, 11.8, 8.7, W, 54.0, NNE, WSW, 22.0, 35.0, 38.0, 51.0, 1005.9, 1004.4, 4.0, 7.0, 32.8, 29.6, No, 0.0, No
2008-12-11, AliceSprings, 25.0, 32.3, 0.0, 12.0, 4.2, NW, 63.0, NNW, WSW, 26.0, 9.0, 50.0, 73.0, 1005.6, 1001.3, 7.0, 7.0, 29.5, 27.6, No, 14.4, Yes
2008-12-12, AliceSprings, 20.7, 32.2, 14.4, 3.6, 8.4, NW, 41.0, NNW, WSW, 13.0, 19.0, 88.0, 37.0, 1005.2, 1002.7, 6.0, 6.0, 22.5, 31.0, Yes, 0.0, No
2008-12-13, AliceSprings, 16.6, 26.6, 0.0, 9.6, 13.3, S, 37.0, S, S, 26.0, 24.0, 55.0, 39.0, 1012.9, 1009.6, 3.0, 1.0, 20.7, 25.9, No, 0.0, No
2008-12-14, AliceSprings, 13.7, 26.8, 0.0, 9.0, 13.3, SSE, 46.0, SE, SSE, 20.0, 19.0, 37.0, 24.0, 1014.1, 1010.5, 0.0, 0.0, 20.5, 26.0, No, 0.0, No
2008-12-15, AliceSprings, 13.1, 28.5, 0.0, 10.4, 13.4, ESE, 35.0, ESE, SE, 20.0, 13.0, 30.0, 15.0, 1013.7, 1009.6, 0.0, 0.0, 21.7, 27.3, No, 0.0, No
2008-12-16, AliceSprings, 13.6, 31.7, 0.0, 10.0, 13.4, ENE, 31.0, E, SW, 22.0, 13.0, 21.0, 15.0, 1011.9, 1007.9, 0.0, 0.0, 24.6, 31.2, No, 0.0, No
2008-12-17, AliceSprings, 15.7, 36.3, 0.0, 9.8, 13.4, W, 35.0, NE, W, 9.0, 9.0, 18.0, 11.0, 1009.3, 1004.9, 0.0, 0.0, 29.2, 36.0, No, 0.0, No
2008-12-18, AliceSprings, 19.6, 36.9, 0.0, 10.6, 10.4, S, 41.0, SSW, SSW, 15.0, 17.0, 21.0, 12.0, 1007.4, 1004.9, 3.0, 2.0, 31.0, 36.2, No, 0.0, No
2008-12-19, AliceSprings, 24.5, 35.2, 0.0, 14.6, 9.6, ESE, 41.0, ESE, SE, 26.0, 17.0, 32.0, 19.0, 1010.1, 1006.6, 6.0, 4.0, 27.4, 33.5, No, 0.0, No
2008-12-20, AliceSprings, 19.4, 35.2, 0.0, 13.4, 13.0, E, 41.0, ESE, ESE, 31.0, 13.0, 20.0, 14.0, 1010.9, 1007.0, 2.0, 3.0, 26.9, 34.4, No, 0.0, No
2008-12-21, AliceSprings, 19.9, 39.3, 0.0, 12.0, 12.5, SE, 30.0, E, SW, 19.0, 15.0, 11.0, 12.0, 1007.8, 1004.1, 3.0, 2.0, 30.7, 38.6, No, 0.0, No
2008-12-22, AliceSprings, 21.5, 39.9, 0.0, 13.2, 11.5, E, 33.0, NE, ENE, 13.0, 19.0, 16.0, 13.0, 1007.7, 1004.9, 2.0, 3.0, 33.2, 38.2, No, 0.0, No
2008-12-23, AliceSprings, 21.6, 39.4, 0.0, 13.8, 9.7, ENE, 48.0, NE, ESE, 28.0, 20.0, 12.0, 13.0, 1007.9, 1005.0, 6.0, 6.0, 34.0, 39.0, No, 0.0, No
2008-12-24, AliceSprings, 22.5, 38.5, 0.0, 19.2, 9.8, SE, 37.0, ESE, S, 20.0, 17.0, 17.0, 19.0, 1009.8, 1005.7, 6.0, 5.0, 30.5, 37.1, No, 0.0, No
2008-12-25, AliceSprings, 27.2, 37.6, 0.0, 14.0, 6.4, ESE, 30.0, E, S, 13.0, 13.0, 30.0, 22.0, 1010.2, 1006.1, 6.0, 6.0, 30.4, 35.6, No, 0.0, No
2008-12-26, AliceSprings, 26.8, 38.9, 0.0, 11.2, 6.0, N, 69.0, E, SW, 20.0, 35.0, 21.0, 58.0, 1006.3, 1003.5, 6.0, 8.0, 33.5, 27.5, No, 21.4, Yes
2008-12-27, AliceSprings, 23.1, 31.5, 21.4, 9.2, 3.0, SW, 22.0, E, N, 11.0, 7.0, 77.0, 51.0, 1009.0, 1005.0, 7.0, 6.0, 23.9, 30.2, Yes, 0.2, No
2008-12-28, AliceSprings, 23.3, 34.0, 0.2, 5.2, 1.8, NNE, 46.0, nan, SE, 0.0, 19.0, 71.0, 37.0, 1007.3, 1003.8, 7.0, 7.0, 25.9, 33.3, No, 9.4, Yes
2008-12-29, AliceSprings, 21.9, 32.4, 9.4, 5.2, 7.9, SE, 39.0, SE, E, 19.0, 17.0, 65.0, 28.0, 1008.5, 1006.3, 4.0, 6.0, 26.6, 31.3, Yes, 0.0, No
2008-12-30, AliceSprings, 18.7, 32.7, 0.0, 10.8, 12.8, ESE, 37.0, ESE, SE, 28.0, 17.0, 21.0, 14.0, 1009.6, 1006.2, 3.0, 6.0, 26.4, 32.0, No, 0.0, No
2008-12-31, AliceSprings, 18.0, 34.5, 0.0, 11.8, 7.6, ESE, 37.0, E, ESE, 19.0, 13.0, 18.0, 14.0, 1007.3, 1003.4, 2.0, 6.0, 27.3, 34.4, No, 0.0, No
2009-01-01, AliceSprings, 22.2, 36.0, 0.0, 10.6, 10.1, SE, 54.0, E, ESE, 22.0, 28.0, 18.0, 12.0, 1005.8, 1002.9, 5.0, 4.0, 29.0, 35.0, No, 0.0, No
2009-01-02, AliceSprings, 22.1, 34.3, 0.0, 16.4, 13.2, ESE, 50.0, SE, SE, 30.0, 30.0, 20.0, 12.0, 1009.2, 1005.9, 2.0, 2.0, 27.3, 34.0, No, 0.0, No
2009-01-03, AliceSprings, 18.6, 34.7, 0.0, 15.4, 12.9, SE, 54.0, SE, ESE, 19.0, 24.0, 17.0, 20.0, 1009.3, 1004.4, 0.0, 2.0, 26.9, 33.3, No, 0.0, No
2009-01-04, AliceSprings, 21.5, 36.1, 0.0, 14.2, 11.8, SE, 57.0, ESE, SE, 17.0, 26.0, 38.0, 20.0, 1007.7, 1003.8, 2.0, 6.0, 29.0, 35.5, No, 0.0, No
2009-01-05, AliceSprings, 20.6, 36.5, 0.0, 14.6, 12.1, ESE, 57.0, SE, SE, 20.0, 30.0, 38.0, 20.0, 1007.3, 1003.2, 1.0, 6.0, 29.6, 35.8, No, 0.0, No
2009-01-06, AliceSprings, 22.4, 36.3, 0.0, 14.6, 10.6, SSE, 52.0, SE, SSE, 19.0, 24.0, 44.0, 19.0, 1006.4, 1002.4, 2.0, 6.0, 30.0, 35.6, No, 0.0, No
2009-01-07, AliceSprings, 21.1, 35.7, 0.0, 12.0, 8.8, S, 59.0, SSW, SE, 22.0, 37.0, 65.0, 32.0, 1007.7, 1004.2, 4.0, 5.0, 27.1, 33.3, No, 0.0, No
2009-01-08, AliceSprings, 22.4, 34.6, 0.0, 11.0, 12.0, SE, 56.0, ESE, SE, 24.0, 31.0, 63.0, 30.0, 1009.4, 1005.8, 4.0, 5.0, 26.2, 33.5, No, 0.0, No
2009-01-09, AliceSprings, 21.2, 36.2, 0.0, 14.8, 12.1, SSE, 46.0, SE, SE, 24.0, 24.0, 25.0, 17.0, 1009.3, 1004.6, 0.0, 1.0, 29.0, 35.3, No, 0.0, No
2009-01-10, AliceSprings, 21.0, 37.5, 0.0, 14.8, 12.9, SSE, 41.0, E, E, 20.0, 15.0, 13.0, 9.0, 1006.6, 1002.6, 0.0, 0.0, 30.3, 36.1, No, 0.0, No
2009-01-11, AliceSprings, 17.7, 37.3, 0.0, 15.0, 13.1, SSE, 44.0, ESE, S, 17.0, 17.0, 11.0, 6.0, 1005.9, 1003.3, 0.0, 0.0, 30.0, 36.7, No, 0.0, No
2009-01-12, AliceSprings, 17.4, 38.1, 0.0, 15.0, 13.1, SE, 43.0, ESE, SSE, 24.0, 17.0, 9.0, 8.0, 1009.3, 1005.3, 0.0, 1.0, 30.6, 37.5, No, 0.0, No
