Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01, BadgerysCreek, 13.3, 34.2, 0.0, nan, nan, W, 61.0, NNE, nan, 11.0, nan, 67.0, nan, 1005.6, nan, nan, nan, 21.0, nan, No, 0.0, No
2009-01-02, BadgerysCreek, 14.7, 26.1, 0.0, nan, nan, SE, 46.0, SE, SE, 7.0, 24.0, 59.0, 54.0, 1012.9, 1013.5, nan, nan, 20.7, 22.2, No, 0.0, No
2009-01-03, BadgerysCreek, 13.6, 22.3, 0.0, nan, nan, NNE, 30.0, ESE, NE, 6.0, 15.0, 57.0, 51.0, 1021.9, 1019.2, nan, nan, 17.9, 21.7, No, 0.0, No
2009-01-04, BadgerysCreek, 17.7, 31.2, 0.0, nan, nan, NE, 39.0, NNE, N, 9.0, 15.0, 62.0, 43.0, 1018.7, 1013.6, nan, nan, 22.0, 30.6, No, 0.0, No
2009-01-05, BadgerysCreek, 15.5, 38.8, 0.0, nan, nan, SW, 50.0, NNE, W, 7.0, 17.0, 67.0, 19.0, 1013.2, 1007.6, nan, nan, 22.7, 37.6, No, 0.0, No
2009-01-06, BadgerysCreek, 14.0, 39.3, 0.0, nan, nan, ESE, 35.0, N, ENE, 6.0, 15.0, 56.0, 13.0, 1011.9, 1006.9, nan, nan, 24.2, 38.0, No, 0.0, No
2009-01-07, BadgerysCreek, 15.3, 40.3, 0.0, nan, nan, W, 63.0, N, WNW, 6.0, 30.0, 69.0, 19.0, 1010.1, 1004.6, nan, nan, 23.3, 39.8, No, 0.0, No
2009-01-08, BadgerysCreek, 18.9, 22.3, 0.0, nan, nan, SE, 31.0, SSE, SE, 11.0, 19.0, 75.0, 70.0, 1012.7, 1013.6, nan, nan, 20.5, 20.1, No, 0.4, No
2009-01-09, BadgerysCreek, 14.8, 22.4, 0.4, nan, nan, E, 33.0, SSE, E, 15.0, 19.0, 65.0, 46.0, 1020.6, 1018.8, nan, nan, 17.6, 21.1, No, 0.2, No
2009-01-10, BadgerysCreek, 11.9, 26.0, 0.2, nan, nan, ENE, 37.0, SSW, ENE, 4.0, 13.0, 63.0, 43.0, 1017.2, 1013.2, nan, nan, 18.0, 24.2, No, 0.0, No
2009-01-11, BadgerysCreek, 12.6, 30.2, 0.0, nan, nan, E, 41.0, N, E, 7.0, 19.0, 61.0, 40.0, 1014.3, 1010.1, nan, nan, 21.6, 29.0, No, 4.0, Yes
