Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01, Ballarat, 5.8, 17.6, 3.2, nan, nan, W, 52.0, W, WNW, 26.0, 30.0, 71.0, 37.0, 1008.2, 1007.5, 6.0, nan, 10.4, 15.7, Yes, 0.4, No
2008-12-02, Ballarat, 4.3, 19.5, 0.4, nan, nan, WNW, 44.0, WNW, WNW, 20.0, 24.0, 66.0, 47.0, 1009.3, 1007.3, 6.0, 8.0, 12.5, 17.6, No, 0.6, No
2008-12-03, Ballarat, 9.5, 18.8, 0.6, nan, nan, W, 43.0, WSW, SW, 22.0, 20.0, 82.0, 42.0, 1009.5, 1011.5, 4.0, 8.0, 11.2, 16.5, No, 0.2, No
2008-12-04, Ballarat, 6.7, 21.8, 0.2, nan, nan, NNE, 39.0, ENE, N, 9.0, 22.0, 60.0, 33.0, 1016.2, 1012.6, 4.0, nan, 14.4, 20.6, No, 1.2, Yes
2008-12-05, Ballarat, 13.3, 25.6, 1.2, nan, nan, NW, 61.0, NNW, NW, 30.0, 39.0, 74.0, 40.0, 1006.6, 1005.5, 6.0, 1.0, 18.3, 24.3, Yes, 0.0, No
2008-12-06, Ballarat, 9.6, 23.0, 0.0, nan, nan, WNW, 61.0, WNW, WNW, 15.0, 39.0, 76.0, 42.0, 1009.6, 1005.7, 6.0, 6.0, 13.8, 20.8, No, 0.0, No
2008-12-07, Ballarat, 4.6, 16.4, 0.0, nan, nan, SW, 39.0, SW, SW, 20.0, 24.0, 71.0, 42.0, 1012.3, 1012.1, 4.0, 4.0, 9.6, 15.6, No, 0.2, No
2008-12-08, Ballarat, 2.9, 23.1, 0.2, nan, nan, NW, 43.0, SSE, WSW, 17.0, 7.0, 64.0, 30.0, 1014.0, 1010.5, 4.0, nan, 9.7, 20.6, No, 0.0, No
2008-12-09, Ballarat, 5.3, 17.6, 0.0, nan, nan, S, 35.0, NW, SSE, 9.0, 19.0, 55.0, 87.0, 1007.5, 1006.4, 8.0, 8.0, 13.2, 12.4, No, 5.0, Yes
2008-12-10, Ballarat, 8.3, 18.3, 5.0, nan, nan, SE, 50.0, SSE, SE, 28.0, 22.0, 71.0, 43.0, 1011.8, 1010.9, 6.0, nan, 10.6, 18.1, Yes, 0.0, No
2008-12-11, Ballarat, 6.9, 23.8, 0.0, nan, nan, SSE, 54.0, SE, SSE, 28.0, 26.0, 67.0, 28.0, 1013.8, 1011.0, 0.0, nan, 12.2, 22.9, No, 0.0, No
