Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01, Cobar, 17.9, 35.2, 0.0, 12.0, 12.3, SSW, 48.0, ENE, SW, 6.0, 20.0, 20.0, 13.0, 1006.3, 1004.4, 2.0, 5.0, 26.6, 33.4, No, 0.0, No
2009-01-02, Cobar, 18.4, 28.9, 0.0, 14.8, 13.0, S, 37.0, SSE, SSE, 19.0, 19.0, 30.0, 8.0, 1012.9, 1012.1, 1.0, 1.0, 20.3, 27.0, No, 0.0, No
2009-01-03, Cobar, 15.5, 34.1, 0.0, 12.6, 13.3, SE, 30.0, nan, N, nan, 7.0, nan, 7.0, nan, 1011.6, nan, 1.0, nan, 32.7, No, 0.0, No
2009-01-04, Cobar, 19.4, 37.6, 0.0, 10.8, 10.6, NNE, 46.0, NNE, NNW, 30.0, 15.0, 42.0, 22.0, 1012.3, 1009.2, 1.0, 6.0, 28.7, 34.9, No, 0.0, No
2009-01-05, Cobar, 21.9, 38.4, 0.0, 11.4, 12.2, WNW, 31.0, WNW, WSW, 6.0, 6.0, 37.0, 22.0, 1012.7, 1009.1, 1.0, 5.0, 29.1, 35.6, No, 0.0, No
2009-01-06, Cobar, 24.2, 41.0, 0.0, 11.2, 8.4, WNW, 35.0, NW, WNW, 17.0, 13.0, 19.0, 15.0, 1010.7, 1007.4, 1.0, 6.0, 33.6, 37.6, No, 0.0, No
2009-01-07, Cobar, 27.1, 36.1, 0.0, 13.0, 0.0, N, 43.0, N, WNW, 7.0, 20.0, 26.0, 19.0, 1007.7, 1007.4, 8.0, 8.0, 30.7, 34.3, No, 0.0, No
2009-01-08, Cobar, 23.3, 34.0, 0.0, 9.8, 12.6, SSW, 41.0, S, SSE, 17.0, 19.0, 33.0, 15.0, 1011.3, 1009.9, 3.0, 1.0, 25.0, 31.5, No, 0.0, No
2009-01-09, Cobar, 16.1, 34.2, 0.0, 14.6, 13.2, SE, 37.0, SE, S, 15.0, 6.0, 25.0, 9.0, 1013.3, 1009.2, 1.0, 1.0, 20.7, 32.8, No, 0.0, No
2009-01-10, Cobar, 19.0, 35.5, 0.0, 12.0, 12.3, ENE, 48.0, ENE, WSW, 30.0, 9.0, 46.0, 28.0, 1008.3, 1004.0, 1.0, 5.0, 23.4, 33.3, No, 0.0, No
