Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01, CoffsHarbour, 16.1, 31.4, 0.0, 7.4, 11.4, NNE, 54.0, N, NNE, 7.0, 37.0, 51.0, 58.0, 1005.9, 1002.3, 1.0, 5.0, 26.5, 28.4, No, 0.0, No
2009-01-02, CoffsHarbour, 22.8, 24.7, 0.0, 8.0, 0.2, SSW, 56.0, SSW, S, 35.0, 15.0, 68.0, 67.0, 1010.9, 1011.4, 7.0, 7.0, 23.4, 24.4, No, 4.6, Yes
2009-01-03, CoffsHarbour, 20.0, 24.1, 4.6, 3.4, 0.2, SE, 35.0, SE, E, 20.0, 19.0, 70.0, 59.0, 1019.3, 1018.8, 8.0, 7.0, 21.7, 23.7, Yes, 0.8, No
2009-01-04, CoffsHarbour, 14.8, 25.0, 0.8, 3.0, 12.6, E, 24.0, SSE, ESE, 7.0, 17.0, 62.0, 45.0, 1019.5, 1017.0, 5.0, 2.0, 22.5, 24.8, No, 0.0, No
2009-01-05, CoffsHarbour, 15.5, 27.3, 0.0, 6.6, 13.1, NE, 41.0, NW, NE, 7.0, 30.0, 54.0, 62.0, 1015.7, 1012.7, 1.0, 6.0, 24.6, 26.1, No, 0.0, No
2009-01-06, CoffsHarbour, 19.8, 30.2, 0.0, 5.4, 13.4, NNE, 54.0, NW, NE, 24.0, 39.0, 55.0, 58.0, 1012.9, 1011.0, 0.0, 1.0, 27.1, 27.3, No, 0.0, No
2009-01-07, CoffsHarbour, 22.7, 29.6, 0.0, 8.0, 9.8, NNE, 56.0, NNW, NNE, 20.0, 37.0, 60.0, 66.0, 1012.3, 1009.7, 5.0, 5.0, 26.7, 27.1, No, 0.0, No
2009-01-08, CoffsHarbour, 22.7, 29.2, 0.0, 6.4, 1.9, SSW, 44.0, NW, NNE, 9.0, 20.0, 70.0, 71.0, 1009.4, 1008.8, 7.0, 8.0, 25.8, 26.4, No, 7.8, Yes
2009-01-09, CoffsHarbour, 19.5, 21.4, 7.8, 4.2, 0.2, S, 56.0, SSW, SSE, 26.0, 28.0, 85.0, 73.0, 1015.7, 1015.9, 8.0, 8.0, 20.0, 21.1, Yes, 3.2, Yes
2009-01-10, CoffsHarbour, 16.9, 24.2, 3.2, 2.6, 12.0, SW, 30.0, SW, SE, 20.0, 15.0, 59.0, 47.0, 1015.5, 1013.5, 2.0, 2.0, 21.2, 23.3, Yes, 0.0, No
2009-01-11, CoffsHarbour, 13.7, 25.5, 0.0, 6.2, 12.2, E, 26.0, SW, ESE, 13.0, 15.0, 55.0, 63.0, 1013.7, 1012.0, 2.0, 2.0, 23.2, 24.5, No, 0.0, No
