Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-03-05, Dartmoor, nan, 21.7, nan, 3.0, 7.8, SW, 48.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.8, No
2009-03-06, Dartmoor, 8.2, 17.6, 0.8, 3.0, 0.0, W, 26.0, nan, W, 0.0, 19.0, 86.0, 68.0, 1018.2, 1016.7, nan, nan, 12.7, 16.7, No, 0.8, No
2009-03-07, Dartmoor, 10.1, 19.9, 0.8, 1.2, 5.8, SSW, 41.0, WNW, SSW, 9.0, 24.0, 98.0, 52.0, 1017.8, 1018.1, nan, nan, 12.8, 18.0, No, 0.2, No
2009-03-08, Dartmoor, 8.8, 20.5, 0.2, 3.6, 7.4, SE, 41.0, SE, ESE, 13.0, 26.0, 68.0, 54.0, 1021.9, 1020.9, nan, nan, 14.1, 19.8, No, 0.0, No
2009-03-09, Dartmoor, 8.0, 23.9, 0.0, 4.0, 11.2, SSE, 39.0, SE, SE, 17.0, 22.0, 82.0, 47.0, 1021.7, 1019.1, nan, nan, 13.0, 23.0, No, 0.0, No
2009-03-10, Dartmoor, 12.9, 27.6, 0.0, 4.2, 4.9, ESE, 44.0, ESE, SE, 22.0, 24.0, 86.0, 44.0, 1020.4, 1017.8, nan, nan, 16.7, 27.2, No, 0.0, No
2009-03-11, Dartmoor, 14.1, 29.7, 0.0, 3.0, 4.6, NW, 44.0, ESE, NE, 17.0, 20.0, 91.0, 42.0, 1019.7, 1016.2, nan, nan, 17.0, 27.8, No, 19.0, Yes
2009-03-12, Dartmoor, 15.8, 28.1, 19.0, 5.0, 10.5, SW, 35.0, nan, NW, 0.0, 19.0, 90.0, 51.0, 1015.6, 1014.1, nan, nan, 18.8, 27.9, Yes, 0.0, No
2009-03-13, Dartmoor, 14.3, 29.4, 0.0, 4.0, 8.7, SW, 31.0, S, WNW, 7.0, 11.0, nan, 43.0, 1015.9, 1013.6, nan, nan, 16.5, 27.6, No, 14.2, Yes
2009-03-14, Dartmoor, 14.5, 20.1, 14.2, 6.4, 8.1, W, 72.0, W, WSW, 17.0, 44.0, 93.0, 81.0, 1008.8, 1009.5, nan, nan, 15.0, 12.7, Yes, 9.6, Yes
