Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01, GoldCoast, 17.0, 30.4, 0.0, nan, nan, NNW, 31.0, NNW, NE, 17.0, 22.0, 52.0, 61.0, 1013.5, 1010.7, nan, nan, 26.2, 28.5, No, 0.0, No
2008-12-02, GoldCoast, 19.0, 29.7, 0.0, nan, nan, NNE, 37.0, NNW, NNE, 19.0, 31.0, 55.0, 70.0, 1013.1, 1010.2, nan, nan, 27.8, 26.2, No, 0.0, No
2008-12-03, GoldCoast, 21.3, 28.6, 0.0, nan, nan, NNE, 52.0, N, N, 24.0, 31.0, 61.0, 74.0, 1013.4, 1009.8, nan, nan, 27.8, 24.6, No, 0.8, No
2008-12-04, GoldCoast, 20.9, 28.7, 0.8, nan, nan, SE, 52.0, ENE, SE, 15.0, 39.0, 65.0, 75.0, 1014.7, 1014.5, nan, nan, 27.5, 23.6, No, 0.2, No
2008-12-05, GoldCoast, 19.7, 29.5, 0.2, nan, nan, NW, 43.0, E, SE, 11.0, 11.0, 67.0, 83.0, 1017.5, 1015.2, nan, nan, 26.0, 23.8, No, 3.6, Yes
2008-12-06, GoldCoast, 22.8, 34.5, 3.6, nan, nan, NW, 48.0, NW, NW, 22.0, 17.0, 52.0, 50.0, 1011.2, 1006.7, nan, nan, 29.4, 31.9, Yes, 15.4, Yes
2008-12-07, GoldCoast, 22.1, 29.1, 15.4, nan, nan, SSE, 54.0, NNW, SSE, 17.0, 39.0, 82.0, 75.0, 1007.2, 1006.2, nan, nan, 26.0, 23.6, Yes, 0.2, No
2008-12-08, GoldCoast, 20.2, 27.7, 0.2, nan, nan, SE, 41.0, S, SE, 26.0, 26.0, 64.0, 62.0, 1013.4, 1011.0, nan, nan, 25.1, 25.5, No, 1.2, Yes
2008-12-10, GoldCoast, nan, 30.3, nan, nan, nan, NNE, 41.0, N, NNE, 19.0, 31.0, 58.0, 70.0, 1011.3, 1007.5, nan, nan, 27.3, 26.5, nan, 0.0, No
2008-12-11, GoldCoast, 23.4, 31.0, 0.0, nan, nan, SSE, 50.0, SE, NNE, 20.0, 30.0, 70.0, 80.0, 1011.1, 1006.7, nan, nan, 26.7, 25.5, No, 13.2, Yes
