Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-07-01, Hobart, 4.6, 12.2, 3.0, 3.4, 6.0, WSW, 81.0, NNE, NW, 17.0, 24.0, 72.0, 42.0, 988.3, 992.3, 6.0, 5.0, 6.5, 12.1, Yes, 16.2, Yes
2008-07-02, Hobart, 5.1, 10.8, 16.2, 3.6, 3.2, W, 83.0, NW, SW, 24.0, 26.0, 78.0, 60.0, 991.7, 1002.5, 8.0, 6.0, 6.0, 8.5, Yes, 3.0, Yes
2008-07-03, Hobart, 5.5, 12.4, 3.0, 2.0, 4.3, SW, 100.0, WNW, SW, 37.0, 39.0, 55.0, 53.0, 1008.7, 1015.1, 4.0, 1.0, 10.1, 9.3, Yes, 1.0, No
2008-07-04, Hobart, 0.9, 10.4, 1.0, 0.2, 8.3, NNW, 28.0, NW, N, 17.0, 9.0, 76.0, 54.0, 1028.9, 1028.1, 1.0, 1.0, 3.2, 9.6, No, 0.0, No
2008-07-05, Hobart, 0.5, 10.0, 0.0, 1.4, 8.1, NNW, 28.0, NNW, NW, 13.0, 15.0, 79.0, 53.0, 1028.2, 1025.4, 1.0, 7.0, 2.9, 9.7, No, 0.0, No
2008-07-06, Hobart, 1.3, 10.0, 0.0, 1.4, 2.7, NNW, 41.0, NNW, N, 19.0, 7.0, 77.0, 70.0, 1021.6, 1017.8, 7.0, 7.0, 4.2, 9.1, No, 0.0, No
2008-07-07, Hobart, 4.1, 15.8, 0.0, 1.0, 5.3, NNW, 39.0, NNW, WNW, 13.0, 4.0, 82.0, 61.0, 1017.2, 1015.2, 3.0, 5.0, 7.7, 13.8, No, 8.4, Yes
2008-07-08, Hobart, 7.3, 14.2, 8.4, 0.2, 3.4, NNW, 24.0, N, NNW, 7.0, 13.0, 96.0, 72.0, 1017.6, 1017.2, 7.0, 2.0, 8.3, 14.0, Yes, 0.4, No
2008-07-09, Hobart, 5.4, 11.4, 0.4, 0.8, 6.0, NW, 35.0, NW, N, 11.0, 13.0, 88.0, 74.0, 1017.8, 1012.4, 2.0, 7.0, 7.5, 10.7, No, 0.6, No
2008-07-10, Hobart, 5.2, 12.9, 0.6, 4.6, 5.2, NNW, 44.0, NNW, NW, 19.0, 20.0, 68.0, 49.0, 998.7, 996.5, 7.0, 2.0, 9.0, 10.3, No, 2.6, Yes
2008-07-11, Hobart, 3.7, 10.0, 2.6, 0.2, 5.0, SW, 52.0, NW, SW, 20.0, 28.0, 66.0, 52.0, 1002.3, 1007.4, 7.0, 2.0, 7.1, 9.5, Yes, 0.2, No
2008-07-12, Hobart, 6.4, 10.9, 0.2, 1.8, 0.0, NW, 43.0, SW, N, 6.0, 9.0, 73.0, 63.0, 1016.5, 1014.8, 8.0, 7.0, 8.3, 10.8, No, 0.0, No
2008-07-13, Hobart, 6.5, 13.0, 0.0, 3.0, 4.4, N, 30.0, NW, NNW, 17.0, 11.0, 77.0, 56.0, 1016.2, 1016.0, 7.0, 6.0, 7.6, 12.2, No, 0.0, No
2008-07-14, Hobart, 5.1, 13.1, 0.0, 2.4, 7.4, NNW, 28.0, NW, E, 13.0, 9.0, 88.0, 64.0, 1020.4, 1019.6, 5.0, 5.0, 5.8, 11.6, No, 0.8, No
2008-07-15, Hobart, 5.7, 12.4, 0.8, 1.0, 3.7, SSE, 26.0, NNW, SSE, 11.0, 11.0, 88.0, 69.0, 1023.3, 1022.4, 7.0, 4.0, 7.1, 11.6, No, 0.8, No
2008-07-16, Hobart, 6.1, 10.1, 0.8, 1.0, 0.0, NNW, 17.0, NNW, nan, 11.0, 0.0, 88.0, 87.0, 1023.8, 1021.5, 7.0, 7.0, 7.3, 10.1, No, 0.2, No
2008-07-17, Hobart, 4.9, 12.6, 0.2, 3.0, 3.5, NNE, 20.0, nan, ENE, 0.0, 7.0, 91.0, 66.0, 1015.9, 1010.0, 7.0, 7.0, 6.2, 11.4, No, 0.0, No
2008-07-18, Hobart, 3.6, 13.9, 0.0, 0.2, 6.0, NNW, 46.0, NNE, NW, 4.0, 22.0, 85.0, 53.0, 1001.7, 999.7, 5.0, 3.0, 6.0, 13.2, No, 0.0, No
2008-07-19, Hobart, 3.9, 12.1, 0.0, 0.8, 7.0, WNW, 41.0, NE, NNW, 11.0, 17.0, 66.0, 50.0, 1005.0, 1005.2, 5.0, 4.0, 7.4, 10.8, No, 0.0, No
2008-07-20, Hobart, 1.3, 8.2, 0.0, 4.0, 1.2, NNW, 28.0, N, NNW, 9.0, 7.0, 74.0, 70.0, 1011.4, 1008.5, 5.0, 7.0, 3.5, 7.2, No, 3.2, Yes
2008-07-21, Hobart, 3.3, 8.0, 3.2, 0.4, 3.4, SW, 65.0, SSW, SSW, 30.0, 28.0, 80.0, 74.0, 1000.6, 1004.5, 7.0, 6.0, 5.1, 4.6, Yes, 5.2, Yes
