Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2013-03-01, Katherine, 24.7, 34.6, 0.0, 4.0, nan, WNW, 43.0, NW, W, 17.0, 19.0, 74.0, 49.0, 1008.5, 1005.0, 7.0, 3.0, 28.7, 34.1, No, 0.8, No
2013-03-02, Katherine, 25.2, 31.1, 0.8, 6.4, nan, WNW, 26.0, WNW, SW, 11.0, 7.0, 88.0, 77.0, 1008.6, 1004.1, 8.0, 8.0, 27.0, 29.0, No, 0.0, No
2013-03-03, Katherine, 25.4, 35.9, 0.0, 3.8, nan, S, 48.0, WSW, SW, 13.0, 15.0, 82.0, 55.0, 1004.1, 999.6, 6.0, 6.0, 29.2, 35.1, No, 81.0, Yes
2013-03-04, Katherine, 21.6, 33.0, 81.0, nan, nan, W, 37.0, NW, WNW, 13.0, 20.0, 95.0, 64.0, 1005.1, 1002.0, 8.0, 5.0, 25.1, 31.2, Yes, 0.0, No
2013-03-05, Katherine, 24.9, nan, 0.0, 4.0, nan, NW, 30.0, WNW, WNW, 13.0, 13.0, 89.0, 61.0, 1007.1, 1003.8, 7.0, 3.0, 26.9, 33.6, No, 0.0, No
2013-03-06, Katherine, nan, 35.9, 0.0, nan, nan, NNE, 46.0, NNW, WNW, 19.0, 13.0, nan, 49.0, 1008.0, 1004.3, nan, 2.0, nan, 35.0, No, 0.0, No
2013-03-07, Katherine, 24.5, 35.7, 0.0, 12.0, nan, NW, 26.0, WNW, W, 17.0, 11.0, 81.0, 49.0, 1008.4, 1004.8, 3.0, 5.0, 28.0, 35.0, No, 0.0, No
2013-03-08, Katherine, 25.2, 36.5, 0.0, 6.0, nan, NNW, 39.0, W, N, 9.0, 9.0, 77.0, 50.0, 1009.3, 1004.3, 7.0, 5.0, 28.5, 35.2, No, 6.6, Yes
2013-03-09, Katherine, 21.7, 32.8, 6.6, 6.6, nan, SSE, 61.0, ESE, WNW, 22.0, 13.0, 93.0, 63.0, 1009.8, 1003.9, 8.0, 3.0, 22.6, 31.4, Yes, 0.4, No
2013-03-10, Katherine, 21.7, 35.9, 0.4, 4.2, nan, SSW, 46.0, W, S, 9.0, 9.0, 85.0, 53.0, 1007.7, 1002.3, 7.0, 5.0, 28.5, 34.8, No, 6.6, Yes
2013-03-11, Katherine, 23.4, 34.6, 6.6, 6.0, nan, SSE, 31.0, S, SSE, 4.0, 15.0, 83.0, 54.0, 1007.1, 1003.0, 6.0, 8.0, 27.7, 34.5, Yes, 0.0, No
2013-03-12, Katherine, 23.9, 34.8, 0.0, 6.4, nan, SSW, 20.0, nan, S, 0.0, 9.0, 87.0, 47.0, 1008.2, 1003.6, 6.0, 3.0, 26.8, 34.0, No, 0.0, No
2013-03-13, Katherine, 23.2, 37.3, 0.0, 4.0, nan, NE, 59.0, WNW, WNW, 13.0, 15.0, 78.0, 48.0, 1007.8, 1004.2, 1.0, 2.0, 28.0, 35.8, No, 0.0, No
2013-03-14, Katherine, 22.9, 37.0, 0.0, 5.4, nan, NW, 30.0, NNW, WSW, 13.0, 13.0, 76.0, 55.0, 1008.5, 1004.9, 7.0, 2.0, 27.0, 35.2, No, 0.0, No
2013-03-15, Katherine, 25.1, 37.5, 0.0, 6.0, nan, E, 74.0, WNW, W, 20.0, 11.0, 77.0, 47.0, 1011.2, 1007.2, 6.0, 2.0, 29.5, 36.2, No, 1.0, No
2013-03-16, Katherine, 23.4, 37.4, 1.0, 9.0, nan, SE, 63.0, WNW, S, 11.0, 9.0, 68.0, nan, 1012.1, 1008.1, 0.0, 2.0, 29.0, 36.1, No, 3.2, Yes
2013-03-17, Katherine, 23.0, 36.8, 3.2, 7.2, nan, ENE, 24.0, NNW, E, 9.0, 9.0, 75.0, 38.0, 1011.4, 1007.7, 0.0, 5.0, 28.2, 36.0, Yes, 0.0, No
2013-03-18, Katherine, 22.9, 37.0, 0.0, 5.0, nan, WNW, 22.0, NW, E, 4.0, 7.0, 74.0, 40.0, 1011.1, 1007.1, 0.0, 2.0, 28.8, 36.3, No, 0.0, No
2013-03-19, Katherine, 22.6, 37.0, 0.0, 7.4, nan, NE, 35.0, N, WSW, 11.0, 9.0, 67.0, 41.0, 1011.2, 1007.2, 0.0, 2.0, 30.0, 36.1, No, 0.0, No
2013-03-20, Katherine, 24.8, 37.5, 0.0, 9.4, nan, SE, 22.0, NW, NNW, 15.0, 6.0, 65.0, 35.0, 1012.3, 1007.7, 1.0, 2.0, 29.8, 36.8, No, 0.0, No
2013-03-21, Katherine, 24.0, 38.1, 0.0, 3.8, nan, ENE, 24.0, WNW, NW, 7.0, 9.0, 67.0, nan, 1010.1, 1005.6, 1.0, 2.0, 30.1, 37.3, No, 0.0, No
2013-03-22, Katherine, 24.4, 37.9, 0.0, 6.0, nan, W, 28.0, WNW, NNE, 13.0, 7.0, 71.0, nan, 1010.8, 1007.2, 2.0, nan, 29.2, nan, No, 0.0, No
2013-03-23, Katherine, 23.8, 36.5, 0.0, 10.0, nan, NE, 28.0, NE, E, 11.0, 17.0, 66.0, 43.0, 1011.5, 1007.3, 1.0, 8.0, 30.0, 35.2, No, 0.0, No
2013-03-24, Katherine, 24.4, 32.5, 0.0, 6.0, nan, E, 43.0, SE, SE, 15.0, 11.0, 69.0, 77.0, 1010.4, 1006.5, 4.0, 8.0, 29.7, 30.0, No, 1.2, Yes
2013-03-25, Katherine, 23.2, 35.0, 1.2, 7.2, nan, SE, 54.0, S, E, 9.0, 13.0, 78.0, nan, 1009.8, 1005.0, 7.0, nan, 27.3, nan, Yes, 0.8, No
2013-03-26, Katherine, 23.5, 32.7, 0.8, 5.6, nan, ENE, 43.0, ESE, ESE, 13.0, 20.0, 82.0, 57.0, 1008.0, 1003.8, 7.0, 4.0, 26.7, 32.0, No, 3.4, Yes
2013-03-27, Katherine, 24.8, 33.8, 3.4, 5.2, nan, ESE, 43.0, E, ESE, 19.0, 26.0, 87.0, 88.0, 1006.7, 1002.6, 6.0, 6.0, 26.0, 28.1, Yes, 117.6, Yes
2013-03-28, Katherine, 23.7, 33.8, 117.6, nan, nan, ESE, 35.0, E, ESE, 15.0, 15.0, 98.0, 98.0, 1006.4, 1003.1, 8.0, 8.0, 25.1, 25.4, Yes, 79.4, Yes
2013-03-29, Katherine, 23.2, 29.6, 79.4, nan, nan, NE, 43.0, ENE, ENE, 19.0, 15.0, 91.0, 92.0, 1006.5, 1003.7, 8.0, 8.0, 26.0, 27.0, Yes, 63.4, Yes
2013-03-30, Katherine, 24.0, 25.8, 63.4, nan, nan, E, 28.0, NE, NE, 15.0, 13.0, 96.0, nan, 1006.4, 1003.9, 8.0, nan, 24.7, nan, Yes, 23.6, Yes
2013-03-31, Katherine, 24.1, nan, 23.6, nan, nan, E, 31.0, ENE, ENE, 15.0, 11.0, 96.0, 98.0, 1007.5, 1005.1, 8.0, 8.0, 25.2, 25.6, Yes, 96.4, Yes
2013-04-01, Katherine, nan, 30.4, 96.4, nan, nan, E, 31.0, E, E, 11.0, 11.0, nan, 66.0, 1011.2, 1008.8, nan, 8.0, nan, 30.5, Yes, 0.0, No
2013-04-02, Katherine, 22.5, 33.6, 0.0, nan, nan, E, 37.0, E, ENE, 9.0, 13.0, 86.0, 55.0, 1011.9, 1008.1, 8.0, 5.0, 26.1, 31.5, No, 6.0, Yes
2013-04-03, Katherine, 24.1, 33.5, 6.0, 3.4, nan, ESE, 28.0, SE, ESE, 7.0, 15.0, 87.0, 52.0, 1010.9, 1007.7, 8.0, 3.0, 26.5, 32.5, Yes, 0.0, No
2013-04-04, Katherine, 22.9, 34.3, 0.0, 8.0, nan, NE, 59.0, ESE, E, 13.0, 19.0, 64.0, 48.0, 1011.2, 1007.0, 2.0, 3.0, 27.8, 34.0, No, 0.8, No
2013-04-05, Katherine, 23.6, 34.6, 0.8, 6.8, nan, ENE, 33.0, ENE, E, 15.0, 13.0, 78.0, 48.0, 1010.9, 1007.9, 1.0, 5.0, 28.2, 33.9, No, 0.0, No
2013-04-06, Katherine, 23.9, 33.0, 0.0, 6.0, nan, SE, 39.0, ESE, ESE, 17.0, 19.0, 81.0, 60.0, 1011.6, 1007.8, 8.0, 8.0, 27.0, 31.9, No, 0.0, No
2013-04-07, Katherine, 22.6, 34.4, 0.0, 5.4, nan, E, 39.0, ESE, ESE, 17.0, 19.0, 78.0, 53.0, 1010.3, 1007.5, 1.0, 6.0, 27.3, 32.5, No, 0.0, No
2013-04-08, Katherine, 21.6, 34.3, 0.0, 6.2, nan, E, 46.0, ESE, E, 11.0, 24.0, 74.0, 43.0, 1011.0, 1008.2, 5.0, 3.0, 27.0, 33.3, No, 0.0, No
2013-04-09, Katherine, 21.8, 35.2, 0.0, 6.8, nan, E, 35.0, SSE, ESE, 15.0, 17.0, 81.0, 36.0, 1011.7, 1007.9, 3.0, 3.0, 27.5, 34.6, No, 0.0, No
2013-04-10, Katherine, 20.6, 34.3, 0.0, 7.2, nan, ESE, 44.0, SE, SE, 19.0, 19.0, 53.0, 30.0, 1009.8, 1006.5, 1.0, 1.0, 26.8, 33.9, No, 0.0, No
2013-04-11, Katherine, 18.2, 33.8, 0.0, 8.0, nan, SSE, 37.0, SE, SE, 19.0, 20.0, 44.0, 32.0, 1009.7, 1006.5, 0.0, 1.0, 26.2, 33.1, No, 0.0, No
2013-04-12, Katherine, 17.2, 33.4, 0.0, 6.0, nan, SSE, 41.0, SE, SSE, 13.0, 15.0, 62.0, 31.0, 1011.5, 1008.2, 0.0, 2.0, 24.8, 32.8, No, 0.0, No
2013-04-13, Katherine, 16.3, 33.4, 0.0, 8.0, nan, ESE, 31.0, nan, SSE, 0.0, 17.0, 66.0, 36.0, 1012.3, 1008.4, 2.0, 3.0, 23.8, 32.2, No, 0.0, No
2013-04-14, Katherine, 19.3, 34.8, 0.0, 6.0, nan, E, 26.0, S, SSE, 2.0, 9.0, 69.0, 36.0, 1011.2, 1007.2, 0.0, 3.0, 25.6, 34.1, No, 0.0, No
2013-04-15, Katherine, 21.2, 35.4, 0.0, 5.0, nan, S, 30.0, NE, SE, 4.0, 9.0, 71.0, 37.0, 1009.4, 1005.7, 1.0, 2.0, 27.7, 35.0, No, 0.0, No
2013-04-16, Katherine, 20.4, 36.0, 0.0, 7.6, nan, SSE, 24.0, NW, SSE, 9.0, 7.0, 76.0, 29.0, 1010.6, 1006.8, 1.0, 2.0, 26.9, 35.6, No, 0.0, No
2013-04-17, Katherine, 20.6, 35.8, 0.0, 4.0, nan, ENE, 35.0, NE, ESE, 13.0, 20.0, 58.0, nan, 1011.3, 1008.1, 3.0, 3.0, 28.7, 35.0, No, 0.0, No
2013-04-18, Katherine, 19.6, 36.2, 0.0, 8.0, nan, ENE, 39.0, E, E, 6.0, 22.0, 71.0, nan, 1011.7, 1008.1, 0.0, 1.0, 26.2, 35.4, No, 0.0, No
2013-04-19, Katherine, 18.2, 36.0, 0.0, 6.0, nan, E, 33.0, S, E, 6.0, 19.0, 67.0, nan, 1013.1, 1009.6, 0.0, nan, 25.8, nan, No, 0.0, No
2013-04-20, Katherine, 19.0, 36.3, 0.0, 6.0, nan, SE, 33.0, SE, ESE, 6.0, 17.0, nan, 25.0, 1013.0, 1009.2, 0.0, 1.0, 27.6, 35.6, No, 0.0, No
2013-04-21, Katherine, 18.8, 36.4, 0.0, 8.0, nan, E, 24.0, nan, E, 0.0, 13.0, 58.0, 27.0, 1012.8, 1008.3, 2.0, 2.0, 27.7, 36.0, No, 0.0, No
2013-04-22, Katherine, 18.2, 36.7, 0.0, 6.0, nan, NW, 22.0, NNW, SW, 7.0, 6.0, 70.0, nan, 1011.5, 1008.2, 0.0, 1.0, 26.0, 35.5, No, 0.0, No
2013-04-23, Katherine, 19.5, 36.3, 0.0, 6.0, nan, nan, nan, NNW, SSE, 6.0, 9.0, 72.0, 34.0, 1012.5, 1008.7, 1.0, 1.0, 26.9, 35.8, No, 0.0, No
2013-04-24, Katherine, 17.8, 35.1, 0.0, 6.0, nan, ESE, 37.0, ENE, E, 13.0, 24.0, 63.0, nan, 1015.0, 1010.4, 0.0, 1.0, 26.8, 34.0, No, 0.0, No
2013-04-25, Katherine, 18.8, 35.4, 0.0, 8.0, nan, SE, 41.0, ESE, ESE, 13.0, 20.0, 69.0, 32.0, 1014.7, 1011.4, 0.0, 1.0, 26.5, 34.7, No, 0.0, No
2013-04-26, Katherine, 16.4, 33.9, 0.0, 8.0, nan, ESE, 43.0, SE, ESE, 17.0, 19.0, 42.0, nan, 1015.5, 1012.3, 0.0, 8.0, 25.5, 33.5, No, 0.0, No
2013-04-27, Katherine, 14.8, 33.9, 0.0, 8.8, nan, SE, 31.0, SE, E, 11.0, 19.0, 53.0, nan, 1014.6, 1010.5, 1.0, 4.0, 23.1, 33.3, No, 0.0, No
2013-04-28, Katherine, 16.9, 34.7, 0.0, 6.2, nan, ESE, 33.0, SW, E, 6.0, 17.0, nan, nan, 1014.3, 1010.2, 0.0, 1.0, 23.8, 34.2, No, 0.0, No
2013-04-29, Katherine, 18.4, 34.1, 0.0, 5.0, nan, E, 33.0, SSE, SE, 7.0, 19.0, 63.0, 35.0, 1014.9, 1011.1, 0.0, 3.0, 26.8, 33.3, No, 0.0, No
2013-04-30, Katherine, 15.5, 34.2, 0.0, 7.0, nan, E, 41.0, SSE, E, 13.0, 22.0, 54.0, 30.0, 1014.9, 1010.4, 0.0, 1.0, 25.3, 33.1, No, 0.0, No
2013-05-01, Katherine, 16.3, 35.0, 0.0, 8.0, nan, ESE, 48.0, SE, ENE, 9.0, 20.0, 67.0, 31.0, 1013.1, 1008.6, 0.0, 3.0, 24.2, 34.0, No, 0.0, No
2013-05-02, Katherine, 21.1, 35.5, 0.0, 6.8, nan, SE, 44.0, SE, ESE, 13.0, 19.0, 64.0, 38.0, 1011.8, 1008.5, 0.0, 4.0, 27.7, 34.6, No, 0.0, No
2013-05-03, Katherine, 21.2, 35.9, 0.0, 8.2, nan, E, 44.0, E, E, 17.0, 24.0, 70.0, 45.0, 1013.0, 1009.5, 0.0, 1.0, 28.1, 34.5, No, 0.0, No
2013-05-04, Katherine, 21.5, 35.3, 0.0, 6.6, nan, E, 46.0, ENE, ESE, 20.0, 19.0, 78.0, 37.0, 1014.3, 1010.7, 1.0, 6.0, 27.7, 34.0, No, 0.0, No
2013-05-05, Katherine, 21.1, 34.9, 0.0, 8.0, nan, ESE, 35.0, E, SE, 19.0, 17.0, 71.0, 32.0, 1013.4, 1009.2, 4.0, 1.0, 27.5, 34.4, No, 0.0, No
2013-05-06, Katherine, 20.5, 35.3, 0.0, 7.0, nan, ESE, 37.0, ENE, SE, 11.0, 17.0, 72.0, 27.0, 1011.9, 1008.4, 0.0, 2.0, 27.6, 34.6, No, 0.0, No
2013-05-07, Katherine, 18.9, 34.3, 0.0, 8.0, nan, ESE, 37.0, ENE, ESE, 19.0, 24.0, 63.0, 34.0, 1012.1, 1008.9, 0.0, 2.0, 26.3, 33.2, No, 0.0, No
2013-05-08, Katherine, 15.7, 33.7, 0.0, 7.6, nan, ESE, 43.0, SE, SE, 13.0, 17.0, 71.0, 40.0, 1013.1, 1009.1, 0.0, 3.0, 24.0, 32.1, No, 0.0, No
2013-05-09, Katherine, 19.4, 34.1, 0.0, 5.0, nan, ESE, 41.0, E, E, 17.0, 17.0, 72.0, 34.0, 1013.8, 1009.5, 1.0, 2.0, 26.2, 33.7, No, 0.0, No
2013-05-10, Katherine, 21.4, 34.9, 0.0, 4.0, nan, ENE, 37.0, E, E, 13.0, 17.0, 80.0, 44.0, 1013.5, 1009.5, 1.0, 3.0, 26.0, 33.1, No, 0.0, No
2013-05-11, Katherine, 25.3, 33.9, 0.0, 9.0, nan, ENE, 43.0, E, ESE, 15.0, 20.0, 75.0, 43.0, 1013.2, 1009.1, 6.0, 6.0, 27.3, 32.5, No, 0.0, No
2013-05-12, Katherine, 19.5, 34.6, 0.0, 5.2, nan, SE, 33.0, NE, ENE, 20.0, 22.0, 70.0, 36.0, 1012.8, 1010.2, 0.0, 1.0, 27.0, 33.9, No, 0.0, No
2013-05-13, Katherine, 20.3, 33.6, 0.0, 7.0, nan, SSE, 31.0, S, SSE, 17.0, 19.0, 75.0, 46.0, 1013.8, 1010.2, 1.0, 2.0, 26.1, 32.0, No, 0.0, No
2013-05-14, Katherine, 20.3, 33.4, 0.0, 7.4, nan, SE, 37.0, SE, ESE, 20.0, 17.0, 61.0, 45.0, 1012.9, 1008.9, 2.0, 2.0, 23.3, 30.2, No, 0.0, No
2013-05-15, Katherine, 19.6, 32.9, 0.0, 5.0, nan, E, 33.0, ESE, ESE, 15.0, 13.0, 68.0, 46.0, 1012.1, 1008.4, 2.0, 6.0, 25.0, 31.8, No, 0.0, No
2013-05-16, Katherine, 22.4, 32.1, 0.0, 6.0, nan, SSE, 24.0, NE, SE, 9.0, 11.0, 72.0, 58.0, 1012.8, 1009.8, 5.0, 7.0, 26.8, 31.2, No, 0.0, No
2013-05-17, Katherine, 20.9, 33.8, 0.0, 5.2, nan, E, 30.0, SE, E, 15.0, 9.0, 52.0, nan, 1014.1, 1010.1, 7.0, 6.0, 24.0, 32.5, No, 0.0, No
2013-05-18, Katherine, 22.6, 35.1, 0.0, 5.0, nan, E, 33.0, ESE, E, 17.0, 19.0, 74.0, nan, 1014.4, 1010.4, 2.0, nan, 27.6, nan, No, 0.0, No
2013-05-19, Katherine, 22.1, 34.4, 0.0, 4.8, nan, E, 39.0, E, E, 22.0, 17.0, 70.0, 51.0, 1013.7, 1010.0, 3.0, 3.0, 26.8, 32.8, No, 0.0, No
2013-05-20, Katherine, 22.8, 34.5, 0.0, 6.0, nan, E, 39.0, ENE, ENE, 15.0, 17.0, 77.0, nan, 1013.1, 1009.7, 5.0, 5.0, 26.8, 33.3, No, 0.0, No
2013-05-21, Katherine, 22.6, 35.5, 0.0, 6.0, nan, NE, 33.0, E, ENE, 9.0, 13.0, 77.0, 41.0, 1013.1, 1009.3, 2.0, 4.0, 26.9, 34.4, No, 0.0, No
2013-05-22, Katherine, 23.2, 34.9, 0.0, 6.0, nan, W, 24.0, NW, W, 7.0, 11.0, 77.0, 49.0, 1013.1, 1009.0, 3.0, 5.0, 27.5, 34.3, No, 0.0, No
2013-05-23, Katherine, 24.9, 33.7, 0.0, 5.0, nan, SE, 33.0, SE, ESE, 13.0, 20.0, 70.0, nan, 1013.6, 1010.1, 5.0, 6.0, 27.2, 32.1, No, 0.0, No
2013-05-24, Katherine, 20.4, 27.9, 0.0, 8.0, nan, SE, 50.0, SE, SE, 30.0, 24.0, 42.0, 25.0, 1016.5, 1012.5, 2.0, 1.0, 22.2, 27.4, No, 0.0, No
2013-05-25, Katherine, 14.8, 27.1, 0.0, 8.0, nan, ESE, 50.0, ESE, SE, 22.0, 24.0, 44.0, 31.0, 1017.0, 1013.4, 0.0, 1.0, 19.3, 26.1, No, 0.0, No
2013-05-26, Katherine, 10.9, 28.9, 0.0, 7.0, nan, ESE, 44.0, SE, ESE, 19.0, 24.0, 49.0, 30.0, 1016.0, 1012.7, 1.0, 1.0, 19.5, 28.1, No, 0.0, No
2013-05-27, Katherine, 16.9, 31.1, 0.0, 5.2, nan, E, 44.0, E, E, 22.0, 20.0, 42.0, 31.0, 1014.8, 1011.4, 2.0, 1.0, 24.6, 30.1, No, 0.0, No
2013-05-28, Katherine, 17.1, 32.0, 0.0, 5.4, nan, ESE, 37.0, E, ENE, 17.0, 13.0, 37.0, 43.0, 1014.9, 1011.5, 3.0, 1.0, 31.1, 31.6, No, 0.0, No
2013-05-29, Katherine, 19.6, nan, 0.0, 6.2, nan, ENE, 37.0, E, E, 17.0, 15.0, 73.0, nan, 1014.7, 1010.9, 4.0, 4.0, 25.3, 32.0, No, 0.0, No
2013-05-30, Katherine, nan, 32.3, 0.0, nan, nan, E, 43.0, ESE, ESE, 9.0, 20.0, nan, nan, 1015.3, 1010.5, nan, 4.0, nan, 31.5, No, 0.0, No
2013-05-31, Katherine, nan, 33.6, 0.0, 11.0, nan, ESE, 43.0, ESE, E, 15.0, 20.0, 66.0, 37.0, 1014.5, 1010.2, 1.0, 7.0, 25.3, 32.5, No, 0.0, No
2013-06-01, Katherine, 18.0, 33.8, 0.0, 6.2, nan, E, 35.0, ENE, NE, 20.0, 20.0, 72.0, nan, 1014.3, 1009.3, 0.0, nan, 25.0, nan, No, 0.0, No
