Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01, MountGambier, 6.6, 18.7, 4.0, 5.0, 10.6, WNW, 61.0, WNW, WNW, 20.0, 30.0, 73.0, 39.0, 1009.4, 1008.9, 3.0, 3.0, 13.4, 17.8, Yes, 0.0, No
2008-12-02, MountGambier, 8.9, 18.1, 0.0, 5.4, 3.6, W, 50.0, NW, WNW, 17.0, 31.0, 74.0, 49.0, 1009.8, 1008.9, 8.0, 8.0, 14.4, 16.2, No, 1.0, No
2008-12-03, MountGambier, 10.1, 19.3, 1.0, 3.2, 12.0, WSW, 43.0, WSW, SW, 20.0, 24.0, 73.0, 47.0, 1011.9, 1013.9, 5.0, 6.0, 13.6, 18.2, No, 0.0, No
2008-12-04, MountGambier, 5.9, 21.2, 0.0, 4.4, 1.6, NNE, 50.0, ENE, NNE, 17.0, 26.0, 69.0, 39.0, 1014.8, 1009.5, 8.0, 8.0, 13.7, 20.5, No, 12.8, Yes
2008-12-05, MountGambier, 13.6, 19.3, 12.8, 3.8, 1.8, WNW, 63.0, NW, WNW, 24.0, 39.0, 86.0, 65.0, 1005.7, 1006.9, 8.0, 7.0, 16.1, 18.7, Yes, 0.6, No
2008-12-06, MountGambier, 12.7, 19.6, 0.6, 2.4, 8.6, W, 57.0, NW, W, 26.0, 39.0, 81.0, 46.0, 1008.9, 1008.7, 7.0, 5.0, 15.7, 18.5, No, 0.0, No
2008-12-07, MountGambier, 10.2, 16.8, 0.0, 5.8, 2.3, SW, 39.0, WSW, SSW, 11.0, 26.0, 65.0, 46.0, 1015.3, 1014.6, 7.0, 7.0, 12.6, 16.4, No, 0.0, No
2008-12-08, MountGambier, 11.1, 21.0, 0.0, 4.0, 9.4, SSW, 35.0, WNW, SSW, 15.0, 26.0, 51.0, 42.0, 1015.3, 1011.0, 7.0, 6.0, 13.9, 20.4, No, 0.4, No
2008-12-09, MountGambier, 6.9, 16.5, 0.4, 3.4, 3.9, SSE, 33.0, S, N, 22.0, 15.0, 87.0, 91.0, 1006.9, 1007.8, 8.0, 7.0, 11.1, 13.1, No, 4.2, Yes
2008-12-10, MountGambier, 7.5, 19.9, 4.2, 2.0, 14.0, SSE, 50.0, SE, SSE, 20.0, 35.0, 58.0, 43.0, 1014.2, 1012.2, 4.0, 3.0, 14.9, 19.3, Yes, 0.0, No
2008-12-11, MountGambier, 6.2, 25.8, 0.0, 5.0, 10.8, ESE, 35.0, ESE, E, 26.0, 15.0, 56.0, 25.0, 1014.8, 1010.3, 1.0, 1.0, 14.7, 24.7, No, 0.8, No
2008-12-12, MountGambier, 13.6, 15.4, 0.8, 6.8, 0.0, SSE, 59.0, NNE, E, 7.0, 22.0, 85.0, 93.0, 1005.2, 1000.3, 8.0, 8.0, 15.2, 13.5, No, 78.8, Yes
2008-12-13, MountGambier, 11.4, 14.9, 78.8, nan, 0.0, SSE, 63.0, S, SSW, 37.0, 33.0, 86.0, 74.0, 1002.3, 1005.8, 8.0, 8.0, 11.9, 13.6, Yes, 2.0, Yes
2008-12-14, MountGambier, 11.0, 15.9, 2.0, 1.0, 1.9, SSW, 41.0, S, S, 24.0, 22.0, 69.0, 61.0, 1011.4, 1012.5, 8.0, 7.0, 13.0, 15.8, Yes, 0.0, No
2008-12-15, MountGambier, 10.6, 19.9, 0.0, 3.0, 8.6, WSW, 46.0, WSW, W, 17.0, 30.0, 61.0, 50.0, 1014.4, 1012.3, 8.0, 7.0, 13.2, 19.6, No, 0.4, No
2008-12-16, MountGambier, 11.4, 19.3, 0.4, 4.4, 2.8, SW, 43.0, NW, WSW, 15.0, 22.0, 89.0, 72.0, 1013.6, 1012.6, 7.0, 7.0, 14.1, 18.4, No, 6.0, Yes
2008-12-17, MountGambier, 12.4, 19.7, 6.0, 2.2, 0.1, SSE, 31.0, ESE, ESE, 15.0, 15.0, 87.0, 64.0, 1012.8, 1009.1, 7.0, 7.0, 14.5, 18.5, Yes, 0.0, No
2008-12-18, MountGambier, 10.4, 19.1, 0.0, 3.2, 6.1, WSW, 50.0, nan, WSW, 0.0, 33.0, 63.0, 58.0, 1008.0, 1008.8, 7.0, 7.0, 15.2, 16.2, No, 0.6, No
2008-12-19, MountGambier, 8.9, 18.5, 0.6, 4.0, 12.5, SSW, 41.0, S, S, 28.0, 26.0, 46.0, 45.0, 1017.9, 1018.4, 2.0, 1.0, 15.4, 18.0, No, 0.0, No
2008-12-20, MountGambier, 6.2, 24.9, 0.0, 4.8, 14.0, S, 33.0, E, SSE, 20.0, 11.0, 63.0, 39.0, 1021.5, 1017.8, 2.0, 1.0, 15.5, 24.0, No, 0.0, No
2008-12-21, MountGambier, 11.3, 30.2, 0.0, 5.4, 9.3, NNE, 41.0, NNE, N, 20.0, 19.0, 38.0, 18.0, 1014.6, 1010.2, 7.0, 7.0, 22.0, 28.2, No, 0.0, No
2008-12-22, MountGambier, 18.2, 20.6, 0.0, 12.2, 2.3, N, 54.0, WNW, W, 30.0, 30.0, 71.0, 64.0, 1006.1, 1007.2, 7.0, 8.0, 18.2, 19.8, No, 0.0, No
2008-12-23, MountGambier, 13.7, 20.5, 0.0, 3.4, 6.5, S, 33.0, S, S, 20.0, 19.0, 61.0, 51.0, 1016.2, 1015.3, 8.0, 3.0, 15.6, 19.0, No, 0.0, No
2008-12-24, MountGambier, 6.6, 25.4, 0.0, 3.8, 13.8, WSW, 46.0, NE, WNW, 17.0, 28.0, 57.0, 35.0, 1013.5, 1011.8, 1.0, 1.0, 16.2, 24.8, No, 0.0, No
2008-12-25, MountGambier, 9.3, 24.0, 0.0, 7.0, 13.2, SSW, 33.0, ESE, SSW, 13.0, 19.0, 63.0, 40.0, 1015.9, 1012.6, 7.0, 4.0, 16.8, 23.5, No, 0.0, No
2008-12-26, MountGambier, 11.2, 25.8, 0.0, 5.2, 11.8, SSW, 30.0, SSW, SSW, 13.0, 13.0, 68.0, 45.0, 1010.8, 1008.1, 6.0, 7.0, 18.4, 24.8, No, 0.0, No
2008-12-27, MountGambier, 12.9, 22.8, 0.0, 4.6, 13.4, W, 39.0, SW, WSW, 15.0, 22.0, 66.0, 50.0, 1007.6, 1005.6, 4.0, 7.0, 18.0, 21.6, No, 0.0, No
2008-12-28, MountGambier, 13.3, 20.6, 0.0, 6.2, 5.1, WNW, 56.0, NW, WSW, 24.0, 28.0, 89.0, 59.0, 1004.6, 1004.3, 8.0, 7.0, 16.2, 20.1, No, 0.8, No
2008-12-29, MountGambier, 10.7, 19.1, 0.8, 4.8, 9.3, W, 48.0, WSW, W, 28.0, 30.0, 45.0, 49.0, 1010.5, 1009.8, 5.0, 7.0, 16.2, 17.9, No, 6.0, Yes
2008-12-30, MountGambier, 13.2, 18.8, 6.0, 4.0, 8.8, W, 59.0, WSW, W, 30.0, 39.0, 60.0, 50.0, 1006.2, 1006.6, 7.0, 7.0, 16.4, 17.4, Yes, 0.0, No
2008-12-31, MountGambier, 12.2, 19.6, 0.0, 4.6, 7.1, W, 52.0, WSW, WNW, 24.0, 31.0, 64.0, 51.0, 1007.7, 1006.3, 8.0, 6.0, 14.6, 18.6, No, 0.8, No
2009-01-01, MountGambier, 12.6, 17.0, 0.8, 4.8, 6.5, SW, 56.0, SW, SW, 28.0, 35.0, 66.0, 43.0, 1008.3, 1011.6, 7.0, 5.0, 14.3, 16.6, No, 0.0, No
2009-01-02, MountGambier, 7.3, 18.8, 0.0, 4.8, 11.7, SSW, 43.0, S, SSW, 28.0, 20.0, 48.0, 37.0, 1020.6, 1020.6, 5.0, 1.0, 15.5, 17.4, No, 0.0, No
2009-01-03, MountGambier, 4.0, 22.6, 0.0, 4.6, 11.9, SSW, 43.0, E, SE, 13.0, 13.0, 55.0, 33.0, 1020.5, 1017.0, 7.0, 3.0, 13.3, 21.3, No, 0.0, No
2009-01-04, MountGambier, 6.2, 25.3, 0.0, 4.8, 13.8, SSW, 33.0, SE, S, 11.0, 20.0, 56.0, 44.0, 1016.2, 1013.8, 3.0, 1.0, 16.6, 23.9, No, 0.0, No
2009-01-05, MountGambier, 6.2, 23.1, 0.0, 5.6, 13.6, WSW, 37.0, SW, WNW, 17.0, 22.0, 68.0, 45.0, 1014.8, 1013.3, 5.0, 4.0, 15.8, 22.3, No, 0.0, No
2009-01-06, MountGambier, 12.7, 24.7, 0.0, 5.4, 8.5, WSW, 43.0, NW, WSW, 17.0, 31.0, 90.0, 65.0, 1011.9, 1010.4, 8.0, 5.0, 16.4, 21.6, No, 1.4, Yes
2009-01-07, MountGambier, 13.7, 21.2, 1.4, 4.8, 8.0, SW, 44.0, SSW, SW, 19.0, 26.0, 89.0, 41.0, 1012.3, 1013.0, 8.0, 5.0, 14.8, 19.9, Yes, 0.0, No
2009-01-08, MountGambier, 10.1, 19.3, 0.0, 5.8, 11.7, S, 48.0, SW, S, 26.0, 31.0, 42.0, 44.0, 1020.2, 1021.1, 7.0, 6.0, 17.1, 17.5, No, 0.0, No
2009-01-09, MountGambier, 6.4, 21.6, 0.0, 5.2, 9.9, S, 43.0, ESE, SSE, 19.0, 28.0, 52.0, 41.0, 1021.7, 1017.7, 7.0, 6.0, 15.3, 20.8, No, 0.0, No
2009-01-10, MountGambier, 9.0, 22.5, 0.0, 5.2, 13.8, S, 46.0, SE, SSW, 20.0, 31.0, 59.0, 47.0, 1014.0, 1011.9, 1.0, 1.0, 16.4, 21.4, No, 0.0, No
2009-01-11, MountGambier, 7.7, 22.6, 0.0, 6.4, 11.2, SSW, 39.0, S, SW, 7.0, 28.0, 68.0, 39.0, 1013.3, 1012.7, 7.0, 1.0, 14.7, 22.1, No, 0.0, No
2009-01-12, MountGambier, 14.0, 27.2, 0.0, 4.8, 11.6, S, 33.0, S, S, 2.0, 19.0, 71.0, 45.0, 1018.5, 1016.0, 7.0, 1.0, 18.1, 26.0, No, 0.0, No
2009-01-13, MountGambier, 13.6, 39.3, 0.0, 6.0, 13.0, NNW, 63.0, N, NW, 28.0, 37.0, 24.0, 8.0, 1010.6, 1006.3, 1.0, 1.0, 26.6, 38.2, No, 0.0, No
2009-01-14, MountGambier, 15.2, 23.0, 0.0, 15.2, 5.8, nan, nan, SSE, S, 22.0, 26.0, 78.0, 53.0, 1012.1, 1011.9, 8.0, 7.0, 17.5, 22.4, No, 0.0, No
2009-01-15, MountGambier, 11.8, 22.1, 0.0, 5.0, 12.1, WSW, 46.0, WSW, SW, 24.0, 26.0, 56.0, 44.0, 1016.8, 1017.7, 5.0, 3.0, 17.3, 21.2, No, 0.0, No
2009-01-16, MountGambier, 13.3, 19.9, 0.0, 6.6, 12.0, SSW, 46.0, SSW, SW, 28.0, 33.0, 63.0, 38.0, 1021.5, 1022.8, 7.0, 5.0, 15.4, 18.3, No, 0.0, No
2009-01-17, MountGambier, 6.8, 23.1, 0.0, 5.4, 13.4, SSW, 35.0, ESE, SSW, 15.0, 24.0, 50.0, 37.0, 1024.7, 1022.6, 1.0, 3.0, 16.2, 22.6, No, 0.0, No
2009-01-18, MountGambier, 4.9, 29.0, 0.0, 5.4, 13.8, SSW, 39.0, ESE, S, 13.0, 22.0, 53.0, 25.0, 1021.3, 1017.7, 0.0, 0.0, 16.7, 28.6, No, 0.0, No
2009-01-19, MountGambier, 9.7, 33.7, 0.0, 7.2, 13.4, W, 43.0, N, SW, 15.0, 26.0, 32.0, 14.0, 1011.7, 1009.3, 2.0, 1.0, 23.0, 32.5, No, 0.0, No
2009-01-20, MountGambier, 12.3, 30.2, 0.0, 8.4, 12.0, WSW, 48.0, SW, NNW, 15.0, 13.0, 69.0, 17.0, 1007.2, 1007.3, 7.0, 7.0, 19.8, 29.5, No, 0.0, No
2009-01-21, MountGambier, 9.0, 25.7, 0.0, 7.0, 10.8, WSW, 43.0, NNW, W, 13.0, 26.0, 72.0, 40.0, 1011.4, 1007.7, 2.0, 6.0, 17.6, 24.3, No, 0.0, No
2009-01-22, MountGambier, 14.9, 22.7, 0.0, 8.2, 5.2, NW, 80.0, NW, WNW, 50.0, 39.0, 42.0, 51.0, 996.5, 1000.2, 7.0, 7.0, 22.7, 19.1, No, 0.0, No
2009-01-23, MountGambier, 7.8, 24.5, 0.0, 6.6, 7.4, NW, 54.0, N, NNW, 22.0, 31.0, 60.0, 31.0, 1006.6, 1002.8, 5.0, 3.0, 15.6, 23.3, No, 3.2, Yes
2009-01-24, MountGambier, 12.9, 20.6, 3.2, 5.6, 11.6, W, 46.0, WSW, W, 28.0, 22.0, 54.0, 37.0, 1010.5, 1013.9, 7.0, 2.0, 16.0, 19.3, Yes, 0.0, No
2009-01-25, MountGambier, 5.7, 24.6, 0.0, 5.2, 13.3, S, 37.0, NNW, SSW, 9.0, 13.0, 65.0, 39.0, 1019.0, 1018.2, 5.0, 1.0, 15.6, 23.2, No, 0.0, No
2009-01-26, MountGambier, 7.8, 27.6, 0.0, 5.2, 13.4, S, 37.0, SE, S, 15.0, 26.0, 74.0, 44.0, 1022.8, 1019.4, 3.0, 5.0, 18.3, 26.6, No, 0.0, No
2009-01-27, MountGambier, 10.6, 39.5, 0.0, 6.6, 13.3, N, 39.0, NNE, WSW, 11.0, 17.0, 57.0, 10.0, 1015.6, 1011.8, 1.0, 0.0, 21.2, 38.3, No, 0.0, No
2009-01-28, MountGambier, 21.1, 43.6, 0.0, 10.8, 13.2, N, 48.0, N, SSW, 24.0, 30.0, 13.0, 13.0, 1009.0, 1007.4, 2.0, 2.0, 32.4, 38.6, No, 0.0, No
2009-01-29, MountGambier, 21.2, 43.6, 0.0, 13.8, 11.4, NW, 69.0, NNW, NNW, 26.0, 39.0, 23.0, 12.0, 1007.4, 1007.5, 2.0, 7.0, 35.2, 40.1, No, 0.0, No
2009-01-30, MountGambier, 20.5, 36.8, 0.0, 14.2, 12.6, S, 52.0, S, S, 20.0, 30.0, 53.0, 37.0, 1011.1, 1010.1, 2.0, 1.0, 26.5, 33.0, No, 0.0, No
2009-01-31, MountGambier, 17.5, 32.4, 0.0, 8.6, 9.7, SSE, 54.0, S, SSE, 26.0, 28.0, 65.0, 48.0, 1014.6, 1014.6, 5.0, 7.0, 24.0, 29.0, No, 0.0, No
2009-02-01, MountGambier, 16.6, 32.2, 0.0, 6.4, 10.6, SSW, 41.0, SSE, SSW, 24.0, 28.0, 64.0, 43.0, 1016.1, 1013.4, 7.0, 6.0, 21.7, 30.8, No, 0.0, No
2009-02-02, MountGambier, 17.3, 25.8, 0.0, 7.8, 7.4, SSE, 43.0, SSW, S, 26.0, 28.0, 89.0, 60.0, 1013.5, 1012.7, 8.0, 6.0, 18.9, 24.4, No, 0.0, No
2009-02-03, MountGambier, 16.7, 31.7, 0.0, 4.4, 9.5, ESE, 37.0, SE, E, 24.0, 17.0, 74.0, 39.0, 1013.7, 1009.7, 8.0, 1.0, 18.8, 29.4, No, 0.0, No
2009-02-04, MountGambier, 13.0, 35.1, 0.0, 5.6, 13.2, S, 39.0, ESE, SSE, 13.0, 22.0, 70.0, 21.0, 1008.9, 1005.2, 0.0, 0.0, 19.8, 34.6, No, 0.0, No
2009-02-05, MountGambier, 16.0, 25.2, 0.0, 9.0, 7.9, SW, 39.0, SSW, SSW, 19.0, 26.0, 72.0, 49.0, 1008.8, 1010.2, 2.0, 2.0, 19.1, 25.0, No, 0.0, No
2009-02-06, MountGambier, 9.5, 30.1, 0.0, 4.6, 9.3, SW, 54.0, E, SSE, 13.0, 20.0, 73.0, 51.0, 1009.0, 1007.2, 1.0, 7.0, 16.7, 23.5, No, 0.0, No
2009-02-07, MountGambier, 16.6, 34.5, 0.0, 6.2, 8.9, WSW, 57.0, NE, SW, 9.0, 15.0, 58.0, 49.0, 999.8, 1003.7, 5.0, 5.0, 24.0, 26.0, No, 0.0, No
2009-02-08, MountGambier, 14.1, 21.8, 0.0, 7.4, 6.4, WSW, 48.0, WSW, SW, 19.0, 28.0, 52.0, 40.0, 1014.9, 1016.1, 7.0, 7.0, 17.1, 20.1, No, 0.0, No
2009-02-09, MountGambier, 9.3, 20.1, 0.0, 5.2, 11.1, S, 54.0, S, SSW, 19.0, 24.0, 53.0, 26.0, 1020.3, 1019.3, 7.0, 4.0, 15.1, 19.0, No, 0.8, No
2009-02-10, MountGambier, 7.4, 19.7, 0.8, 6.0, 7.7, SSW, 54.0, SSW, SSW, 17.0, 39.0, 74.0, 56.0, 1021.1, 1020.9, 6.0, 7.0, 12.7, 14.8, No, 0.4, No
2009-02-11, MountGambier, 11.9, 19.0, 0.4, 2.6, 1.7, S, 52.0, S, S, 26.0, 33.0, 53.0, 50.0, 1023.2, 1023.0, 7.0, 8.0, 14.3, 15.7, No, 0.2, No
2009-02-12, MountGambier, 11.6, 21.6, 0.2, 4.0, 11.9, SSE, 57.0, SSE, SSE, 30.0, 37.0, 40.0, 42.0, 1024.5, 1022.7, 5.0, 2.0, 16.3, 20.6, No, 0.0, No
2009-02-13, MountGambier, 7.1, 27.3, 0.0, 5.4, 12.7, S, 39.0, E, E, 28.0, 24.0, 57.0, 21.0, 1026.2, 1022.8, 1.0, 0.0, 15.0, 26.3, No, 0.0, No
2009-02-14, MountGambier, 8.8, 26.5, 0.0, 6.0, 11.6, S, 41.0, ESE, SSW, 7.0, 20.0, 72.0, 30.0, 1022.6, 1019.8, 2.0, 6.0, 15.9, 25.7, No, 0.0, No
2009-02-15, MountGambier, 15.1, 26.0, 0.0, 5.0, 10.1, SE, 50.0, SE, SE, 24.0, 30.0, 73.0, 39.0, 1019.9, 1018.3, 7.0, 3.0, 18.2, 25.5, No, 0.0, No
2009-02-16, MountGambier, 13.4, 29.2, 0.0, 6.8, 12.1, ESE, 39.0, ESE, SSE, 26.0, 11.0, 69.0, 28.0, 1019.2, 1015.0, 7.0, 0.0, 18.1, 28.9, No, 0.0, No
2009-02-17, MountGambier, 13.6, 33.5, 0.0, 5.2, 12.1, SSW, 41.0, ENE, SSW, 15.0, 15.0, 53.0, 21.0, 1014.6, 1011.5, 1.0, 3.0, 20.6, 32.4, No, 0.0, No
2009-02-18, MountGambier, 14.6, 33.9, 0.0, 6.8, 11.7, WSW, 50.0, N, W, 15.0, 30.0, 36.0, 18.0, 1010.9, 1008.5, 1.0, 6.0, 23.3, 31.7, No, 0.0, No
2009-02-19, MountGambier, 12.9, 30.8, 0.0, 8.6, 12.1, SW, 39.0, W, SSW, 7.0, 19.0, 44.0, 46.0, 1008.0, 1007.3, 2.0, 6.0, 22.4, 26.4, No, 0.0, No
2009-02-20, MountGambier, 15.0, 22.0, 0.0, 7.0, 1.9, SSW, 41.0, WSW, SW, 15.0, 26.0, 74.0, 51.0, 1015.4, 1016.4, 8.0, 7.0, 16.7, 20.1, No, 0.0, No
2009-02-21, MountGambier, 14.8, 20.1, 0.0, 3.8, 0.0, S, 39.0, SSW, S, 13.0, 28.0, 75.0, 65.0, 1020.9, 1019.8, 8.0, 8.0, 16.5, 18.4, No, 0.0, No
2009-02-22, MountGambier, 10.0, 27.3, 0.0, 2.2, 12.5, SSW, 41.0, ESE, SE, 19.0, 15.0, 57.0, 27.0, 1018.1, 1013.6, 1.0, 1.0, 17.1, 26.1, No, 0.0, No
