Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2013-03-01, Nhil, 9.8, 27.4, 0.2, nan, nan, SE, 54.0, SSE, SE, 28.0, 30.0, 62.0, 27.0, 1021.2, 1019.3, nan, nan, 14.3, 25.3, No, 0.0, No
2013-03-02, Nhil, 12.6, 30.1, 0.0, nan, nan, ESE, 46.0, ESE, ESE, 35.0, 19.0, 60.0, 22.0, 1022.7, 1019.9, nan, nan, 16.0, 27.6, No, 0.0, No
2013-03-03, Nhil, 13.7, 30.6, 0.0, nan, nan, ENE, 50.0, ENE, NE, 22.0, 20.0, 51.0, 26.0, 1021.0, 1017.8, nan, nan, 18.9, 29.4, No, 0.0, No
2013-03-04, Nhil, 16.9, 32.4, 0.0, nan, nan, ENE, 48.0, ENE, NE, 20.0, 17.0, 52.0, 23.0, 1018.9, 1015.9, nan, nan, 21.0, 32.0, No, 0.0, No
2013-03-05, Nhil, 18.9, 34.2, 0.0, nan, nan, SE, 54.0, ENE, ESE, 28.0, 20.0, 48.0, 25.0, 1016.9, 1014.5, nan, nan, 22.3, 32.6, No, 0.4, No
2013-03-06, Nhil, 19.4, 35.2, 0.4, nan, nan, E, 28.0, ENE, SSW, 17.0, 9.0, 41.0, 26.0, 1015.3, 1012.8, nan, nan, 23.7, 32.7, No, 0.0, No
2013-03-07, Nhil, 21.5, 35.2, 0.0, nan, nan, ESE, 33.0, SE, NW, 9.0, 9.0, 45.0, 29.0, 1015.5, 1014.2, nan, nan, 24.7, 32.8, No, 0.0, No
2013-03-08, Nhil, 23.1, 37.3, 0.0, nan, nan, NE, 33.0, ENE, NNE, 19.0, 11.0, 42.0, 18.0, 1017.1, 1014.3, nan, nan, 25.7, 35.4, No, 0.0, No
2013-03-09, Nhil, 20.5, 36.5, 0.0, nan, nan, SW, 43.0, NNE, N, 11.0, 20.0, 33.0, 17.0, 1015.1, 1012.8, nan, nan, 26.1, 34.4, No, 0.0, No
2013-03-10, Nhil, 21.7, 37.7, 0.0, nan, nan, E, 30.0, E, W, 15.0, 9.0, 44.0, 20.0, 1015.8, 1013.9, nan, nan, 25.1, 34.6, No, 0.0, No
2013-03-11, Nhil, 21.4, 39.0, 0.0, nan, nan, NNW, 43.0, ENE, N, 13.0, 13.0, 35.0, 16.0, 1015.8, 1013.5, nan, nan, 26.2, 37.5, No, 0.0, No
2013-03-12, Nhil, 22.4, 38.5, 0.0, nan, nan, NNW, 50.0, NE, N, 9.0, 26.0, 31.0, 15.0, 1014.1, 1010.2, nan, nan, 26.5, 36.8, No, 0.0, No
2013-03-13, Nhil, 18.1, 25.4, 0.0, nan, nan, W, 54.0, SW, SSW, 31.0, 30.0, 54.0, 30.0, 1011.6, 1011.6, nan, nan, 19.2, 24.7, No, 0.0, No
2013-03-14, Nhil, 11.9, 26.5, 0.0, nan, nan, S, 46.0, SSW, SW, 22.0, 22.0, 55.0, 28.0, 1017.1, 1015.0, nan, nan, 16.0, 24.7, No, 0.0, No
2013-03-15, Nhil, 9.2, 26.9, 0.0, nan, nan, SW, 41.0, S, S, 9.0, 19.0, 81.0, 28.0, 1019.1, 1016.7, nan, nan, 13.5, 25.1, No, 0.0, No
2013-03-16, Nhil, 13.5, 23.8, 0.0, nan, nan, SW, 63.0, SSW, SW, 20.0, 28.0, 69.0, 80.0, 1017.5, 1016.8, nan, nan, 16.4, 17.6, No, 0.2, No
2013-03-17, Nhil, 6.7, 21.3, 0.2, nan, nan, SSE, 50.0, S, S, 19.0, 26.0, 71.0, 28.0, 1026.3, 1024.6, nan, nan, 10.6, 19.2, No, 0.0, No
2013-03-18, Nhil, 6.7, 23.5, 0.0, nan, nan, E, 48.0, SSE, SSE, 13.0, 19.0, 77.0, 33.0, 1025.2, 1022.6, nan, nan, 10.8, 21.4, No, 0.0, No
2013-03-19, Nhil, 9.9, 25.9, 0.0, nan, nan, ESE, 30.0, ESE, ESE, 15.0, 7.0, 72.0, 26.0, 1023.5, 1020.6, nan, nan, 14.1, 24.8, No, 0.0, No
2013-03-20, Nhil, 12.1, 30.9, 0.0, nan, nan, NNW, 39.0, ENE, N, 20.0, 19.0, 41.0, 15.0, 1018.6, 1013.1, nan, nan, 16.2, 29.8, No, 0.0, No
2013-03-21, Nhil, 16.2, 25.0, 0.0, nan, nan, WNW, 89.0, N, WNW, 31.0, 57.0, 29.0, 38.0, 1001.0, 1003.0, nan, nan, 24.6, 22.6, No, 0.2, No
2013-03-22, Nhil, 12.5, 18.3, 0.2, nan, nan, WNW, 43.0, WNW, WNW, 11.0, 24.0, 64.0, 47.0, 1014.5, 1014.6, nan, nan, 14.5, 17.6, No, 0.2, No
