Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01, NorahHead, 17.9, 28.1, 0.0, nan, nan, SSW, 63.0, NW, NE, 9.0, 24.0, 69.0, 69.0, 1005.3, 1001.7, nan, nan, 23.7, 25.9, No, 0.0, No
2009-01-02, NorahHead, 19.1, 23.8, 0.0, nan, nan, S, 69.0, SSE, SE, 15.0, 28.0, 62.0, 62.0, 1012.5, 1012.8, nan, nan, 22.6, 23.0, No, 0.0, No
2009-01-03, NorahHead, 17.1, 23.0, 0.0, nan, nan, NNE, 52.0, E, NE, 19.0, 19.0, 61.0, 62.0, 1021.1, 1019.1, nan, nan, 20.0, 22.1, No, 0.0, No
2009-01-04, NorahHead, 19.7, 25.0, 0.0, nan, nan, NE, 61.0, NNE, NE, 39.0, 46.0, 70.0, 68.0, 1018.4, 1015.2, nan, nan, 22.8, 23.7, No, 0.0, No
2009-01-05, NorahHead, 18.5, 25.9, 0.0, nan, nan, NNE, 48.0, NNE, NE, 20.0, 35.0, 73.0, 73.0, 1013.4, 1009.0, nan, nan, 22.8, 23.7, No, 0.0, No
2009-01-06, NorahHead, 19.8, 26.5, 0.0, nan, nan, N, 43.0, S, NE, 28.0, 20.0, 92.0, 80.0, 1011.8, 1008.7, nan, nan, 20.1, 24.3, No, 0.0, No
2009-01-07, NorahHead, 20.0, 27.7, 0.0, nan, nan, S, 44.0, S, NNE, 24.0, 15.0, 85.0, 82.0, 1010.1, 1006.3, nan, nan, 21.9, 23.7, No, 0.0, No
2009-01-08, NorahHead, 20.4, 22.3, 0.0, nan, nan, SSE, 57.0, S, SSE, 35.0, 41.0, 86.0, 81.0, 1011.3, 1012.3, nan, nan, 21.0, 20.6, No, 2.8, Yes
2009-01-09, NorahHead, 17.5, 22.8, 2.8, nan, nan, SSE, 59.0, SSE, SE, 43.0, 30.0, 64.0, 59.0, 1019.0, 1018.3, nan, nan, 19.3, 20.9, Yes, 0.0, No
2009-01-10, NorahHead, 18.4, 25.6, 0.0, nan, nan, NE, 50.0, NNE, ENE, 19.0, 22.0, 62.0, 51.0, 1016.8, 1013.8, nan, nan, 20.9, 23.4, No, 0.0, No
2009-01-11, NorahHead, 19.6, 27.3, 0.0, nan, nan, NE, 43.0, NNE, ENE, 19.0, 30.0, 69.0, 66.0, 1013.8, 1011.6, nan, nan, 23.0, 24.0, No, 1.0, No
2009-01-12, NorahHead, 19.0, 26.2, 1.0, nan, nan, ENE, 31.0, SSW, nan, 13.0, nan, 84.0, nan, 1015.2, nan, nan, nan, 22.1, nan, No, 0.2, No
2009-01-13, NorahHead, 20.1, 27.8, 0.2, nan, nan, NE, 54.0, NE, NE, 17.0, 31.0, 75.0, 66.0, 1019.3, 1016.9, nan, nan, 24.4, 25.2, No, 0.0, No
2009-01-14, NorahHead, 19.8, 26.7, 0.0, nan, nan, NE, 52.0, NNE, NE, 22.0, 41.0, 78.0, 69.0, 1015.1, 1011.5, nan, nan, 23.3, 25.1, No, 0.0, No
2009-01-15, NorahHead, 20.2, 27.7, 0.0, nan, nan, S, 69.0, NNE, nan, 30.0, nan, 79.0, nan, 1009.6, nan, nan, nan, 23.7, nan, No, 10.4, Yes
2009-01-16, NorahHead, 19.0, 24.7, 10.4, nan, nan, SSE, 57.0, SSW, ESE, 11.0, 20.0, 78.0, 69.0, 1012.9, 1009.5, nan, nan, 20.4, 23.3, Yes, 1.2, Yes
2009-01-17, NorahHead, 18.0, 21.1, 1.2, nan, nan, SSE, 61.0, SSE, SSE, 48.0, 43.0, 65.0, 63.0, 1019.4, 1019.8, nan, nan, 18.9, 20.4, Yes, 0.0, No
2009-01-18, NorahHead, 14.5, 23.8, 0.0, nan, nan, NNE, 41.0, SSW, E, 11.0, 22.0, 66.0, 54.0, 1021.7, 1020.1, nan, nan, 20.1, 22.7, No, 0.0, No
2009-01-19, NorahHead, 17.2, 26.2, 0.0, nan, nan, NNE, 54.0, NNE, NE, 30.0, 35.0, 65.0, 67.0, 1019.3, 1015.5, nan, nan, 22.9, 24.7, No, 0.0, No
2009-01-20, NorahHead, 18.9, 26.7, 0.0, nan, nan, NE, 48.0, NNE, NE, 20.0, 37.0, 74.0, 71.0, 1014.2, 1010.7, nan, nan, 23.5, 25.5, No, 0.0, No
2009-01-21, NorahHead, 21.1, 27.6, 0.0, nan, nan, S, 72.0, N, NE, 15.0, 37.0, 77.0, 71.0, 1012.3, 1008.3, nan, nan, 24.5, 25.6, No, 2.0, Yes
2009-01-22, NorahHead, 21.3, 29.2, 2.0, nan, nan, N, 69.0, NNW, nan, 19.0, nan, 71.0, nan, 1009.7, nan, nan, nan, 25.9, nan, Yes, 0.0, No
2009-01-23, NorahHead, 21.7, 33.2, 0.0, nan, nan, NNE, 41.0, NW, NE, 19.0, 24.0, 61.0, 67.0, 1009.6, 1007.9, nan, nan, 29.2, 26.5, No, 0.0, No
2009-01-24, NorahHead, 21.7, 40.4, 0.0, nan, nan, S, 74.0, NW, WNW, 17.0, 17.0, 63.0, 30.0, 1005.4, 1002.9, nan, nan, 31.0, 39.8, No, 0.0, No
2009-01-25, NorahHead, 20.4, 23.8, 0.0, nan, nan, S, 65.0, SSE, SSE, 31.0, 24.0, 69.0, 68.0, 1018.7, 1018.1, nan, nan, 21.4, 23.2, No, 0.4, No
2009-01-26, NorahHead, 19.8, 23.4, 0.4, nan, nan, nan, nan, SSW, SSW, 24.0, 26.0, 91.0, 84.0, 1018.6, 1018.4, nan, nan, 20.9, 23.1, No, 0.0, No
2009-01-27, NorahHead, nan, 26.1, 0.0, nan, nan, SE, 31.0, SSW, SSE, 13.0, 13.0, 94.0, nan, 1020.6, 1019.6, nan, nan, 21.7, 25.9, No, 0.2, No
