Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01, NorfolkIsland, 20.4, 25.8, 0.0, 6.0, 12.4, NNW, 31.0, NNW, NW, 13.0, 19.0, 84.0, 71.0, 1014.5, 1013.6, 3.0, 1.0, 23.3, 24.7, No, 0.2, No
2009-01-02, NorfolkIsland, 20.9, 26.7, 0.2, 8.0, 10.3, N, 31.0, NNE, NE, 15.0, 6.0, 79.0, 77.0, 1016.3, 1015.5, 2.0, 5.0, 25.0, 25.1, No, 0.0, No
2009-01-03, NorfolkIsland, 22.3, 26.3, 0.0, 3.2, 2.0, E, 35.0, ENE, SE, 6.0, 19.0, 87.0, 90.0, 1014.6, 1014.3, 7.0, 7.0, 24.7, 23.8, No, 1.2, Yes
2009-01-04, NorfolkIsland, 21.6, 22.2, 1.2, 2.8, 0.0, ESE, 41.0, ESE, ESE, 20.0, 22.0, 92.0, 95.0, 1016.0, 1015.3, 8.0, 8.0, 22.1, 21.2, Yes, 2.6, Yes
2009-01-05, NorfolkIsland, 20.4, 23.5, 2.6, 2.2, 2.9, ESE, 52.0, ESE, ESE, 24.0, 28.0, 86.0, 86.0, 1015.3, 1013.7, 7.0, 7.0, 21.8, 21.6, Yes, 0.0, No
2009-01-06, NorfolkIsland, 20.4, 24.4, 0.0, 3.0, 8.7, E, 48.0, ESE, ESE, 30.0, 24.0, 84.0, 79.0, 1014.5, 1012.7, 5.0, 3.0, 21.4, 23.3, No, 0.0, No
2009-01-07, NorfolkIsland, 20.2, 24.2, 0.0, 7.2, 6.0, ESE, 52.0, ESE, ESE, 28.0, 31.0, 86.0, 79.0, 1014.1, 1013.0, 6.0, 2.0, 21.9, 23.3, No, 0.0, No
2009-01-08, NorfolkIsland, 20.5, 24.0, 0.0, 4.4, 6.0, E, 52.0, ESE, SE, 28.0, 28.0, 82.0, 82.0, 1011.5, 1009.4, 6.0, 6.0, 22.5, 22.8, No, 0.0, No
2009-01-09, NorfolkIsland, 20.9, 22.0, 0.0, 5.0, 0.0, SSE, 61.0, SSE, SSE, 28.0, 33.0, 92.0, 95.0, 1003.9, 1000.4, 8.0, 8.0, 21.9, 21.6, No, 45.2, Yes
2009-01-10, NorfolkIsland, 18.5, 23.1, 45.2, 15.0, 3.0, SE, 81.0, SE, ESE, 46.0, 33.0, 77.0, 64.0, 1001.7, 1001.2, 7.0, 6.0, 19.8, 22.1, Yes, 0.4, No
2009-01-11, NorfolkIsland, 19.7, 22.8, 0.4, 5.4, 1.2, SE, 54.0, SE, SE, 30.0, 28.0, 83.0, 82.0, 1006.4, 1006.9, 7.0, 7.0, 21.6, 22.1, No, 0.0, No
2009-01-12, NorfolkIsland, 19.8, 23.8, 0.0, 4.0, 12.0, SE, 37.0, SE, SE, 24.0, 22.0, 78.0, 78.0, 1011.2, 1010.5, 5.0, 5.0, 21.6, 22.0, No, 0.0, No
2009-01-13, NorfolkIsland, 19.2, 23.2, 0.0, 7.2, 7.1, SSE, 35.0, S, SE, 22.0, 20.0, 77.0, 77.0, 1011.4, 1010.4, 7.0, 7.0, 21.2, 22.0, No, 1.6, Yes
2009-01-14, NorfolkIsland, 17.3, 22.5, 1.6, 5.0, 10.4, SSE, 46.0, SSE, SE, 26.0, 22.0, 74.0, 55.0, 1013.2, 1012.4, 4.0, 1.0, 19.9, 21.7, Yes, 0.0, No
2009-01-15, NorfolkIsland, 18.5, 23.6, 0.0, 8.0, 12.7, SE, 37.0, SSE, SE, 24.0, 24.0, 64.0, 69.0, 1015.3, 1015.0, 1.0, 2.0, 21.4, 22.4, No, 0.0, No
2009-01-16, NorfolkIsland, 17.3, 22.8, 0.0, 5.2, 11.9, SSE, 26.0, SE, SSE, 13.0, 15.0, 63.0, 61.0, 1016.9, 1016.2, 1.0, 1.0, 21.3, 21.6, No, 0.0, No
2009-01-17, NorfolkIsland, 16.2, 23.4, 0.0, 5.8, 9.6, NW, 30.0, WNW, N, 13.0, 13.0, 65.0, 62.0, 1015.0, 1013.4, 1.0, 7.0, 21.0, 22.1, No, 12.8, Yes
2009-01-18, NorfolkIsland, 17.9, 22.6, 12.8, 5.8, 5.1, WSW, 50.0, S, S, 15.0, 24.0, 84.0, 66.0, 1014.6, 1014.8, 8.0, 7.0, 19.2, 21.6, Yes, 0.0, No
2009-01-19, NorfolkIsland, 16.5, 22.5, 0.0, 5.0, 10.6, SSE, 31.0, SE, SSE, 13.0, 19.0, 58.0, 60.0, 1018.7, 1018.0, 2.0, 1.0, 21.1, 21.4, No, 0.0, No
2009-01-20, NorfolkIsland, 17.0, 23.0, 0.0, 6.0, 12.2, E, 35.0, SE, SE, 17.0, 19.0, 60.0, 62.0, 1021.7, 1021.4, 2.0, 1.0, 21.1, 22.0, No, 0.0, No
2009-01-21, NorfolkIsland, 16.9, 23.6, 0.0, 8.0, 13.0, E, 41.0, ESE, E, 22.0, 30.0, 60.0, 68.0, 1022.9, 1021.8, 1.0, 1.0, 21.8, 22.2, No, 0.0, No
2009-01-22, NorfolkIsland, 19.3, 24.0, 0.0, 7.8, 11.8, E, 46.0, ESE, ESE, 26.0, 26.0, 78.0, 71.0, 1022.6, 1020.5, 2.0, 2.0, 22.1, 22.7, No, 0.0, No
2009-01-23, NorfolkIsland, 20.2, 24.5, 0.0, 7.0, 2.6, E, 46.0, E, ENE, 22.0, 30.0, 76.0, 72.0, 1020.8, 1018.5, 7.0, 7.0, 22.7, 23.3, No, 0.0, No
2009-01-24, NorfolkIsland, 20.1, 25.1, 0.0, 2.6, 9.1, E, 52.0, ESE, E, 28.0, 31.0, 83.0, 72.0, 1018.3, 1016.7, 4.0, 1.0, 22.7, 24.1, No, 0.0, No
2009-01-25, NorfolkIsland, 20.5, 25.1, 0.0, 7.2, 10.4, ENE, 46.0, ENE, E, 31.0, 28.0, 74.0, 75.0, 1018.1, 1018.3, 3.0, 5.0, 23.5, 23.1, No, 0.0, No
2009-01-26, NorfolkIsland, 19.6, 24.7, 0.0, 6.8, 12.1, E, 41.0, ESE, E, 20.0, 26.0, 73.0, 67.0, 1018.4, 1016.9, 4.0, 7.0, 22.6, 23.0, No, 0.0, No
2009-01-27, NorfolkIsland, 18.6, 23.9, 0.0, 7.6, 13.0, SSE, 30.0, SE, SSE, 15.0, 22.0, 68.0, 65.0, 1015.9, 1015.0, 3.0, 2.0, 21.5, 22.7, No, 0.0, No
2009-01-28, NorfolkIsland, 17.8, 24.2, 0.0, 5.6, 12.7, SSE, 35.0, SE, ESE, 19.0, 15.0, 76.0, 71.0, 1016.4, 1016.1, 3.0, 2.0, 21.8, 22.6, No, 0.8, No
2009-01-29, NorfolkIsland, 19.5, 24.1, 0.8, 8.8, 11.5, ESE, 41.0, ESE, SE, 22.0, 22.0, 70.0, 66.0, 1019.0, 1018.4, 2.0, 3.0, 22.2, 23.0, No, 0.0, No
2009-01-30, NorfolkIsland, 18.2, 24.2, 0.0, 7.8, 12.1, SE, 41.0, SE, SE, 22.0, 26.0, 64.0, 63.0, 1019.5, 1018.3, 1.0, 2.0, 22.3, 23.5, No, 0.0, No
2009-01-31, NorfolkIsland, 20.1, 23.7, 0.0, 7.2, 8.9, ESE, 43.0, SE, ESE, 24.0, 26.0, 74.0, 70.0, 1019.3, 1017.6, 4.0, 6.0, 22.0, 22.1, No, 2.0, Yes
2009-02-01, NorfolkIsland, 19.3, 23.6, 2.0, 5.4, 1.1, SE, 37.0, ESE, SE, 17.0, 22.0, 86.0, 72.0, 1015.7, 1014.3, 8.0, 7.0, 21.0, 22.6, Yes, 0.2, No
2009-02-02, NorfolkIsland, 19.9, 24.2, 0.2, 4.2, 6.5, SSE, 35.0, SE, SE, 17.0, 22.0, 79.0, 75.0, 1014.4, 1013.1, 8.0, 5.0, 21.9, 23.5, No, 0.0, No
2009-02-03, NorfolkIsland, 19.6, 24.8, 0.0, 5.6, 8.3, E, 37.0, E, E, 20.0, 20.0, 69.0, 73.0, 1013.6, 1011.6, 6.0, 8.0, 22.9, 23.6, No, 0.0, No
2009-02-04, NorfolkIsland, 20.0, 25.0, 0.0, 5.2, 3.8, E, 35.0, SE, ESE, 15.0, 17.0, 81.0, 84.0, 1011.5, 1009.9, 7.0, 7.0, 22.3, 23.1, No, 1.8, Yes
2009-02-05, NorfolkIsland, 21.5, 22.1, 1.8, 4.2, 0.0, ESE, 44.0, ESE, ESE, 26.0, 22.0, 95.0, 95.0, 1008.7, 1006.1, 8.0, 8.0, 21.8, 21.7, Yes, 17.6, Yes
2009-02-06, NorfolkIsland, 20.6, 23.1, 17.6, 2.8, 0.0, SE, 67.0, SE, SE, 28.0, 39.0, 92.0, 96.0, 1000.6, 998.8, 8.0, 8.0, 21.9, 21.7, Yes, 3.8, Yes
2009-02-07, NorfolkIsland, 21.5, 25.5, 3.8, 0.4, 1.2, SE, 61.0, ESE, ENE, 31.0, 26.0, 98.0, 90.0, 1003.1, 1005.4, 8.0, 7.0, 23.0, 25.2, Yes, 6.0, Yes
