Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01, Portland, 12.5, 16.6, 0.0, 4.8, 6.5, SW, 59.0, SW, SW, 28.0, 28.0, 97.0, 99.0, 1006.7, 1010.5, nan, 6.0, 13.7, 14.5, No, 1.6, Yes
2009-01-02, Portland, 8.6, 15.2, 1.6, 4.8, 11.7, SSW, 39.0, SW, S, 20.0, 17.0, 60.0, 61.0, 1020.0, 1021.3, 6.0, 2.0, 11.9, 14.0, Yes, 0.2, No
2009-01-03, Portland, 1.6, 18.0, 0.2, 4.6, 11.9, S, 30.0, NE, ESE, 9.0, 15.0, 67.0, 52.0, 1020.4, 1018.3, 6.0, 3.0, 11.6, 17.5, No, 0.0, No
2009-01-04, Portland, 4.8, 20.1, 0.0, 4.8, 13.8, S, 28.0, E, S, 11.0, 17.0, 73.0, 63.0, 1016.4, 1015.2, 1.0, 1.0, 14.7, 18.1, No, 0.0, No
2009-01-05, Portland, 4.4, 18.8, 0.0, 5.6, 13.6, W, 46.0, W, W, 20.0, 31.0, 72.0, 68.0, 1014.0, 1013.4, 4.0, 3.0, 14.9, 18.0, No, 0.0, No
2009-01-06, Portland, nan, 20.0, 0.0, 5.4, 8.5, nan, nan, WNW, W, 17.0, 26.0, 99.0, 81.0, 1010.9, 1010.8, 8.0, 6.0, 15.4, 18.9, No, 1.4, Yes
2009-01-07, Portland, 12.8, 18.6, 1.4, 4.8, 8.0, WSW, 50.0, SW, W, 9.0, 28.0, 88.0, 57.0, 1011.5, 1012.8, 8.0, 6.0, 14.6, 17.9, Yes, 0.0, No
2009-01-08, Portland, 10.8, 16.2, 0.0, 5.8, 11.7, S, 39.0, SSW, S, 20.0, 22.0, 58.0, 50.0, 1019.8, 1021.5, 6.0, 3.0, 12.9, 15.0, No, 0.0, No
2009-01-09, Portland, 10.9, 18.0, 0.0, 5.2, 9.9, SE, 35.0, SE, ESE, 17.0, 19.0, 56.0, 51.0, 1022.2, 1019.7, 7.0, 3.0, 14.1, 17.2, No, 0.0, No
2009-01-10, Portland, 11.8, 18.5, 0.0, 5.2, 13.8, ESE, 33.0, E, SSE, 15.0, 19.0, 71.0, 56.0, 1014.5, 1013.0, 6.0, nan, 15.4, 17.7, No, 0.0, No
2009-01-11, Portland, 7.4, 18.6, 0.0, 6.4, 11.2, W, 35.0, nan, WSW, 0.0, 24.0, 75.0, 51.0, 1012.7, 1013.1, 7.0, 1.0, 14.0, 17.5, No, 0.2, No
2009-01-12, Portland, 13.4, 21.6, 0.2, 4.8, 11.6, S, 24.0, WNW, SSE, 9.0, 13.0, 89.0, 64.0, 1018.3, 1017.5, 8.0, 2.0, 16.2, 20.8, No, 0.0, No
2009-01-13, Portland, 11.0, 36.8, 0.0, 6.0, 13.0, NW, 48.0, N, W, 15.0, 30.0, 51.0, 14.0, 1010.9, 1006.7, 1.0, 1.0, 21.4, 36.3, No, 0.0, No
2009-01-14, Portland, 15.2, 18.5, 0.0, 15.2, 5.8, W, 43.0, SSW, S, 17.0, 15.0, 90.0, 71.0, 1011.5, 1012.7, 8.0, 7.0, 15.4, 17.2, No, 0.0, No
2009-01-15, Portland, 10.5, 20.0, 0.0, 5.0, 12.1, WSW, 54.0, W, WSW, 20.0, 30.0, 61.0, 58.0, 1015.8, 1017.5, 2.0, 3.0, 16.7, 18.2, No, 0.0, No
2009-01-16, Portland, 13.0, 17.6, 0.0, 6.6, 12.0, WSW, 52.0, SW, SW, 28.0, 26.0, 51.0, 47.0, 1020.3, 1022.7, 2.0, 5.0, 14.6, 15.7, No, 0.0, No
2009-01-17, Portland, 7.4, 18.5, 0.0, 5.4, 13.4, SSW, 41.0, SE, SE, 9.0, 15.0, 59.0, 52.0, 1024.4, 1023.9, 6.0, 3.0, 14.5, 17.2, No, 0.0, No
2009-01-18, Portland, 2.7, 22.6, 0.0, 5.4, 13.8, E, 28.0, ENE, ESE, 13.0, 19.0, 67.0, 50.0, 1021.8, 1019.7, 1.0, 0.0, 14.1, 20.9, No, 0.0, No
2009-01-19, Portland, 8.4, 29.4, 0.0, 7.2, 13.4, WSW, 39.0, E, SSW, 9.0, 20.0, 72.0, 28.0, 1012.3, 1010.3, 2.0, 5.0, 16.9, 26.0, No, 0.0, No
2009-01-20, Portland, 13.2, 27.8, 0.0, 8.4, 12.0, W, 56.0, WSW, NNW, 9.0, 20.0, 78.0, 27.0, 1006.3, 1007.6, 6.0, 6.0, 18.0, 24.6, No, 0.0, No
2009-01-21, Portland, 8.4, 22.4, 0.0, 7.0, 10.8, W, 43.0, NW, W, 17.0, 35.0, 79.0, 53.0, 1011.3, 1008.2, 3.0, 3.0, 16.3, 21.2, No, 0.0, No
