Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01, SydneyAirport, 17.7, 35.1, 0.0, 9.8, 12.9, S, 72.0, NW, NW, 15.0, 33.0, 63.0, 13.0, 1005.3, 1000.2, 6.0, 6.0, 22.9, 34.0, No, 0.0, No
2009-01-02, SydneyAirport, 18.5, 23.0, 0.0, 11.0, 5.9, S, 63.0, SSE, SE, 15.0, 35.0, 63.0, 58.0, 1012.9, 1014.1, 5.0, 6.0, 20.6, 20.1, No, 0.0, No
2009-01-03, SydneyAirport, 16.9, 23.2, 0.0, 9.0, 0.5, nan, nan, ESE, ENE, 15.0, 17.0, 52.0, 50.0, 1021.8, 1019.4, 7.0, 8.0, 18.9, 22.0, No, 0.0, No
2009-01-04, SydneyAirport, 18.7, 27.1, 0.0, 5.4, 11.3, NE, 65.0, NNE, NE, 24.0, 48.0, 60.0, 51.0, 1018.5, 1014.9, 2.0, 1.0, 22.9, 25.9, No, 0.0, No
2009-01-05, SydneyAirport, 20.2, 31.6, 0.0, 10.0, 12.2, NNE, 63.0, WNW, NE, 11.0, 35.0, 58.0, 52.0, 1013.2, 1008.0, 6.0, 3.0, 24.9, 29.0, No, 0.0, No
2009-01-06, SydneyAirport, 19.9, 29.7, 0.0, 10.0, 11.8, NE, 41.0, S, E, 19.0, 20.0, 82.0, 54.0, 1011.7, 1007.8, 1.0, 1.0, 22.7, 28.7, No, 0.0, No
2009-01-07, SydneyAirport, 20.6, 34.9, 0.0, 9.0, 9.3, S, 59.0, SSE, NE, 15.0, 26.0, 79.0, 52.0, 1010.0, 1004.7, 1.0, 7.0, 22.3, 30.3, No, 0.2, No
2009-01-08, SydneyAirport, 20.2, 21.7, 0.2, 9.8, 0.0, SSW, 56.0, S, S, 33.0, 35.0, 85.0, 78.0, 1012.4, 1013.6, 8.0, 8.0, 20.7, 19.7, No, 0.0, No
2009-01-09, SydneyAirport, 17.4, 22.9, 0.0, 7.6, 5.9, SSE, 50.0, SSE, SE, 30.0, 28.0, 54.0, 44.0, 1020.2, 1018.8, 7.0, 5.0, 19.4, 22.3, No, 0.0, No
2009-01-10, SydneyAirport, 16.3, 24.0, 0.0, 7.6, 6.1, ENE, 48.0, E, NE, 17.0, 28.0, 49.0, 44.0, 1017.0, 1013.8, 7.0, 6.0, 20.3, 23.2, No, 0.0, No
2009-01-11, SydneyAirport, 18.0, 26.6, 0.0, 6.6, 8.7, NE, 54.0, NNE, NE, 24.0, 33.0, 57.0, 48.0, 1013.9, 1011.3, 4.0, 1.0, 23.1, 25.7, No, 0.8, No
2009-01-12, SydneyAirport, 18.5, 24.0, 0.8, 8.8, 11.4, S, 39.0, S, S, 9.0, 28.0, 81.0, 72.0, 1015.5, 1016.5, 1.0, 3.0, 21.8, 23.7, No, 0.6, No
2009-01-13, SydneyAirport, 19.3, 27.9, 0.6, 4.2, 11.1, NNE, 59.0, SSE, NE, 11.0, 35.0, 84.0, 48.0, 1019.5, 1016.1, 6.0, 1.0, 21.9, 26.7, No, 0.0, No
2009-01-14, SydneyAirport, 20.9, 32.0, 0.0, 10.2, 13.0, NE, 67.0, N, NE, 9.0, 46.0, 57.0, 39.0, 1014.5, 1010.5, 0.0, 1.0, 26.5, 30.9, No, 0.0, No
2009-01-15, SydneyAirport, 22.6, 38.8, 0.0, 14.2, 9.4, S, 81.0, ENE, NNE, 6.0, 26.0, 42.0, 43.0, 1009.1, 1006.6, 1.0, 6.0, 29.6, 32.0, No, 5.4, Yes
2009-01-16, SydneyAirport, 18.4, 26.3, 5.4, 10.2, 10.1, SSE, 54.0, S, E, 17.0, 24.0, 73.0, 54.0, 1013.0, 1008.9, 1.0, 0.0, 20.5, 25.5, Yes, 0.0, No
2009-01-17, SydneyAirport, 17.1, 20.7, 0.0, 10.4, 6.5, S, 54.0, SSE, S, 43.0, 33.0, 58.0, 57.0, 1020.2, 1020.8, 7.0, 3.0, 18.8, 19.8, No, 0.0, No
2009-01-18, SydneyAirport, 14.4, 25.0, 0.0, 5.6, 12.7, ENE, 43.0, WSW, ENE, 9.0, 30.0, 65.0, 43.0, 1022.0, 1019.8, 1.0, 1.0, 19.3, 23.5, No, 0.0, No
2009-01-19, SydneyAirport, 17.0, 27.3, 0.0, 11.0, 12.7, NNE, 59.0, N, NE, 22.0, 37.0, 53.0, 49.0, 1019.2, 1014.7, 3.0, 6.0, 22.2, 25.6, No, 0.0, No
2009-01-20, SydneyAirport, 19.5, 31.7, 0.0, 9.0, 12.4, NE, 67.0, N, NE, 7.0, 41.0, 51.0, 38.0, 1013.8, 1009.9, 1.0, 1.0, 25.8, 31.1, No, 3.0, Yes
2009-01-21, SydneyAirport, 20.9, 33.7, 3.0, 12.8, 7.4, SSW, 59.0, NW, NE, 13.0, 39.0, 57.0, 45.0, 1011.8, 1007.6, 2.0, 3.0, 27.6, 31.2, Yes, 0.6, No
2009-01-22, SydneyAirport, 22.6, 34.6, 0.6, 8.0, 9.8, N, 63.0, NNW, N, 26.0, 39.0, 42.0, 40.0, 1008.7, 1004.8, 6.0, 5.0, 29.4, 33.0, No, 0.0, No
2009-01-23, SydneyAirport, 24.7, 32.1, 0.0, 14.2, 11.9, NE, 80.0, SSW, ESE, 13.0, 20.0, 80.0, 56.0, 1009.3, 1007.3, 1.0, 1.0, 25.3, 29.8, No, 0.0, No
2009-01-24, SydneyAirport, 24.1, 41.8, 0.0, 10.6, 11.1, S, 69.0, NW, SE, 11.0, 31.0, 52.0, 37.0, 1004.6, 1002.9, 6.0, 2.0, 31.7, 34.4, No, 0.0, No
