Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01, Townsville, 24.4, 31.4, 23.6, 4.6, 11.6, ENE, 33.0, NE, ENE, 11.0, 26.0, 72.0, 74.0, 1011.9, 1008.9, 5.0, 4.0, 30.1, 30.1, Yes, 0.6, No
2008-12-02, Townsville, 25.9, 31.7, 0.6, 7.6, 11.3, ENE, 37.0, E, ENE, 19.0, 28.0, 72.0, 70.0, 1012.4, 1008.9, 2.0, 2.0, 29.7, 30.4, No, 2.4, Yes
2008-12-03, Townsville, 26.1, 32.0, 2.4, 11.0, 12.5, ENE, 33.0, ENE, NNE, 20.0, 9.0, 59.0, 44.0, 1013.5, 1010.4, 2.0, 1.0, 29.4, 31.2, Yes, 0.0, No
2008-12-04, Townsville, 23.9, 31.2, 0.0, 8.6, 12.6, NE, 41.0, ENE, NE, 11.0, 26.0, 63.0, 62.0, 1014.2, 1011.9, 2.0, 1.0, 29.0, 30.5, No, 0.0, No
2008-12-05, Townsville, 24.2, 32.3, 0.0, 9.8, 12.2, ENE, 39.0, ESE, ENE, 20.0, 26.0, 65.0, 65.0, 1015.1, 1012.3, 3.0, 2.0, 29.8, 30.7, No, 1.4, Yes
2008-12-06, Townsville, 26.2, 31.8, 1.4, 10.4, 10.8, ENE, 35.0, NE, ENE, 22.0, 28.0, 74.0, 66.0, 1013.2, 1009.2, 5.0, 2.0, 29.9, 30.9, Yes, 0.0, No
2008-12-07, Townsville, 26.7, 32.4, 0.0, 9.0, 10.6, NNE, 39.0, N, N, 20.0, 24.0, 71.0, 65.0, 1010.6, 1006.4, 6.0, 2.0, 29.3, 31.5, No, 76.8, Yes
2008-12-08, Townsville, 22.5, 30.9, 76.8, nan, 6.0, SSW, 54.0, NE, ENE, 2.0, 13.0, 93.0, 70.0, 1011.0, 1006.3, 7.0, 3.0, 24.4, 30.4, Yes, 3.8, Yes
2008-12-09, Townsville, 23.8, 32.2, 3.8, 6.0, 9.4, ESE, 59.0, E, ENE, 17.0, 28.0, 76.0, 71.0, 1010.3, 1006.3, 4.0, 4.0, 29.2, 30.8, Yes, 0.0, No
2008-12-10, Townsville, 27.5, 31.5, 0.0, 6.2, 11.4, ENE, 39.0, ENE, ENE, 20.0, 28.0, 72.0, 73.0, 1010.4, 1007.2, 2.0, 4.0, 30.2, 30.7, No, 0.0, No
2008-12-11, Townsville, 27.3, 31.6, 0.0, 9.4, 11.5, NE, 33.0, ENE, ENE, 20.0, 26.0, 70.0, 63.0, 1010.8, 1007.1, 4.0, 2.0, 29.9, 31.0, No, 0.0, No
2008-12-12, Townsville, 25.2, 31.4, 0.0, 10.0, 11.1, ENE, 39.0, NE, ENE, 15.0, 22.0, 61.0, 57.0, 1011.0, 1008.1, 4.0, 1.0, 29.8, 30.3, No, 0.0, No
2008-12-13, Townsville, 26.2, 32.2, 0.0, 8.6, 9.2, N, 33.0, N, N, 17.0, 20.0, 71.0, 61.0, 1009.7, 1005.9, 7.0, 5.0, 29.5, 31.7, No, 0.0, No
2008-12-14, Townsville, 27.5, 34.0, 0.0, 7.0, 7.8, WSW, 80.0, NNW, N, 13.0, 15.0, 74.0, 66.0, 1006.7, 1002.2, 7.0, 2.0, 29.9, 33.0, No, 21.2, Yes
2008-12-15, Townsville, 23.4, 33.8, 21.2, 8.4, 10.6, ENE, 28.0, SW, NE, 17.0, 17.0, 36.0, 42.0, 1007.8, 1004.8, 7.0, 5.0, 30.7, 32.3, Yes, 0.0, No
2008-12-16, Townsville, 26.1, 31.7, 0.0, 8.6, 12.3, ENE, 43.0, ESE, ENE, 26.0, 31.0, 67.0, 53.0, 1011.0, 1008.8, 4.0, 2.0, 29.9, 31.1, No, 0.0, No
2008-12-17, Townsville, 27.2, 31.2, 0.0, 11.2, 11.8, ENE, 41.0, ENE, ENE, 24.0, 30.0, 63.0, 64.0, 1012.1, 1009.2, 2.0, 2.0, 29.8, 30.2, No, 0.0, No
2008-12-18, Townsville, 26.1, 31.4, 0.0, 11.0, 11.5, NNE, 37.0, ENE, ENE, 19.0, 20.0, 64.0, 60.0, 1010.8, 1007.6, 3.0, 3.0, 29.8, 31.1, No, 0.0, No
2008-12-19, Townsville, 27.3, 31.5, 0.0, 7.2, 0.7, ENE, 30.0, NW, ENE, 4.0, 22.0, 70.0, 73.0, 1009.3, 1007.1, 7.0, 8.0, 29.4, 30.1, No, 0.0, No
2008-12-20, Townsville, 26.6, 33.5, 0.0, 4.4, 10.3, ESE, 37.0, NNE, N, 9.0, 20.0, 65.0, 64.0, 1009.2, 1005.8, 7.0, 6.0, 31.4, 31.8, No, 0.2, No
2008-12-21, Townsville, 26.3, 33.0, 0.2, 9.0, 6.3, ENE, 39.0, NW, ENE, 9.0, 22.0, 75.0, 64.0, 1010.2, 1008.6, 4.0, 6.0, 28.7, 30.7, No, 0.0, No
