Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01, Tuggeranong, 13.1, 24.2, 0.0, nan, nan, WNW, 61.0, NW, WNW, 22.0, 33.0, 36.0, 34.0, 1005.6, 1003.6, nan, nan, 19.6, 23.1, No, 0.0, No
2008-12-02, Tuggeranong, 5.7, 24.2, 0.0, nan, nan, WNW, 48.0, NNW, WNW, 17.0, 26.0, 38.0, 25.0, 1008.8, 1006.3, nan, nan, 16.4, 22.9, No, 0.0, No
2008-12-03, Tuggeranong, 9.4, 25.7, 0.0, nan, nan, WNW, 50.0, NNW, NW, 11.0, 24.0, 35.0, 26.0, 1005.7, 1005.9, nan, nan, 19.4, 24.6, No, 0.0, No
2008-12-04, Tuggeranong, 11.6, 24.8, 0.0, nan, nan, NE, 43.0, ENE, NE, 17.0, 17.0, 59.0, 32.0, 1017.7, 1014.0, nan, nan, 16.3, 23.6, No, 0.4, No
2008-12-05, Tuggeranong, 14.6, 29.1, 0.4, nan, nan, WSW, 35.0, E, WSW, 6.0, 11.0, 91.0, 47.0, 1011.7, 1007.7, nan, nan, 15.5, 25.6, No, 0.0, No
2008-12-06, Tuggeranong, 13.8, 28.8, 0.0, nan, nan, NW, 46.0, N, NW, 11.0, 24.0, 48.0, 21.0, 1007.6, 1004.8, nan, nan, 20.8, 27.0, No, 0.0, No
2008-12-07, Tuggeranong, 16.5, 26.4, 0.0, nan, nan, WSW, 56.0, W, W, 15.0, 24.0, 38.0, 12.0, 1007.0, 1005.2, nan, nan, 20.8, 26.2, No, 0.0, No
2008-12-08, Tuggeranong, 12.2, 26.4, 0.0, nan, nan, NW, 39.0, WNW, NW, 11.0, 20.0, 55.0, 16.0, 1012.7, 1008.1, nan, nan, 16.2, 25.0, No, 0.0, No
2008-12-09, Tuggeranong, 10.0, 28.1, 0.0, nan, nan, W, 41.0, NNE, WNW, 6.0, 19.0, 69.0, 14.0, 1009.5, 1004.6, nan, nan, 17.1, 26.0, No, 0.4, No
2008-12-10, Tuggeranong, 14.7, 22.7, 0.4, nan, nan, SE, 39.0, NNW, ESE, 6.0, 19.0, 53.0, 48.0, 1006.5, 1007.0, nan, nan, 19.2, 22.7, No, 0.0, No
2008-12-11, Tuggeranong, 13.9, 23.2, 0.0, nan, nan, ENE, 41.0, E, ENE, 9.0, 20.0, 68.0, 49.0, 1012.4, 1011.0, nan, nan, 15.9, 21.0, No, 4.8, Yes
2008-12-12, Tuggeranong, 12.5, 20.7, 4.8, nan, nan, ENE, 46.0, E, E, 6.0, 11.0, 92.0, 90.0, 1012.7, 1006.7, nan, nan, 12.9, 14.4, Yes, 55.6, Yes
2008-12-13, Tuggeranong, 12.8, 22.1, 55.6, nan, nan, WNW, 67.0, NW, WNW, 33.0, 37.0, 61.0, 65.0, 992.8, 992.6, nan, nan, 20.5, 17.9, Yes, 0.0, No
2008-12-14, Tuggeranong, 12.7, 20.0, 0.0, nan, nan, WSW, 44.0, WSW, W, 24.0, 26.0, 52.0, 41.0, 996.2, 996.8, nan, nan, 15.4, 19.0, No, 0.0, No
2008-12-15, Tuggeranong, 10.7, 23.2, 0.0, nan, nan, WNW, 41.0, SSE, NNE, 20.0, 13.0, 48.0, 39.0, 1006.5, 1005.6, nan, nan, 14.9, 22.1, No, 0.0, No
2008-12-16, Tuggeranong, 7.5, 24.6, 0.0, nan, nan, NW, 39.0, NW, WNW, 9.0, 19.0, 55.0, 34.0, 1011.2, 1008.6, nan, nan, 14.9, 24.5, No, 0.0, No
2008-12-17, Tuggeranong, 10.2, 24.8, 0.0, nan, nan, NW, 37.0, NW, S, 4.0, 11.0, 54.0, 83.0, 1010.5, 1008.7, nan, nan, 19.1, 17.1, No, 8.0, Yes
2008-12-18, Tuggeranong, 13.0, 24.1, 8.0, nan, nan, W, 46.0, WNW, W, 13.0, 26.0, 72.0, 39.0, 1003.8, 1000.5, nan, nan, 17.5, 22.9, Yes, 0.6, No
2008-12-19, Tuggeranong, 8.2, 20.8, 0.6, nan, nan, SSE, 46.0, S, SE, 9.0, 20.0, 46.0, 35.0, 1005.2, 1006.3, nan, nan, 15.1, 19.4, No, 0.0, No
2008-12-20, Tuggeranong, 8.0, 21.4, 0.0, nan, nan, SSE, 41.0, SSW, NNE, 13.0, 13.0, 57.0, 36.0, 1018.3, 1016.2, nan, nan, 11.8, 20.9, No, 0.0, No
2008-12-21, Tuggeranong, 9.6, 25.0, 0.0, nan, nan, E, 33.0, E, SSE, 7.0, 11.0, 56.0, 30.0, 1020.1, 1015.8, nan, nan, 14.8, 23.5, No, 0.0, No
2008-12-22, Tuggeranong, 11.1, 29.3, 0.0, nan, nan, W, 37.0, E, WNW, 9.0, 22.0, 61.0, 33.0, 1016.2, 1011.2, nan, nan, 16.5, 27.1, No, 1.8, Yes
2008-12-23, Tuggeranong, 16.3, 25.7, 1.8, nan, nan, SSE, 37.0, NE, N, 9.0, 19.0, 79.0, 53.0, 1010.3, 1007.8, nan, nan, 19.1, 24.0, Yes, 8.8, Yes
2008-12-24, Tuggeranong, 14.4, 19.8, 8.8, nan, nan, NE, 26.0, N, NE, 4.0, 15.0, 76.0, 69.0, 1012.6, 1010.9, nan, nan, 16.1, 18.7, Yes, 0.0, No
2008-12-25, Tuggeranong, 15.4, 29.0, 0.0, nan, nan, ENE, 31.0, WSW, NW, 7.0, 17.0, 71.0, 28.0, 1013.3, 1010.3, nan, nan, 18.1, 27.4, No, 0.0, No
2008-12-26, Tuggeranong, 14.1, 30.9, 0.0, nan, nan, W, 35.0, nan, WNW, 0.0, 17.0, 78.0, 22.0, 1012.6, 1008.9, nan, nan, 18.0, 30.3, No, 0.0, No
2008-12-27, Tuggeranong, 14.7, 27.3, 0.0, nan, nan, W, 59.0, WNW, ENE, 2.0, 7.0, 61.0, 64.0, 1008.4, 1005.1, nan, nan, 22.3, 22.9, No, 24.8, Yes
2008-12-28, Tuggeranong, 14.1, 29.4, 24.8, nan, nan, W, 44.0, N, WNW, 17.0, 28.0, 81.0, 38.0, 1006.2, 1002.1, nan, nan, 19.7, 28.0, Yes, 0.0, No
2008-12-29, Tuggeranong, 11.7, 26.5, 0.0, nan, nan, WNW, 56.0, SSE, WNW, 2.0, 26.0, 53.0, 35.0, 1003.7, 1001.1, nan, nan, 19.3, 26.2, No, 0.0, No
2008-12-30, Tuggeranong, 11.5, 21.1, 0.0, nan, nan, W, 50.0, NNW, NW, 20.0, 20.0, 55.0, 49.0, 1001.6, 1001.6, nan, nan, 18.3, 18.2, No, 0.0, No
2008-12-31, Tuggeranong, 13.2, 23.4, 0.0, nan, nan, WNW, 48.0, NW, WNW, 17.0, 28.0, 41.0, 32.0, 1001.7, 1001.7, nan, nan, 17.5, 22.5, No, 0.0, No
